SNo,QueName,QueLink,Contest,QueType 
1, Choosing Teams, http://codeforces.com/contest/432/problem/A, 432, A
2, Nearly Lucky Number, http://codeforces.com/contest/110/problem/A, 110, A
3, Amusing Joke, http://codeforces.com/contest/141/problem/A, 141, A
4, Drinks, http://codeforces.com/contest/200/problem/B, 200, B
5, Way Too Long Words, http://codeforces.com/contest/71/problem/A, 71, A
6, Presents, http://codeforces.com/contest/136/problem/A, 136, A
7, Lunch Rush, http://codeforces.com/contest/276/problem/A, 276, A
8, Soft Drinking, http://codeforces.com/contest/151/problem/A, 151, A
9, Boy or Girl, http://codeforces.com/contest/236/problem/A, 236, A
10, Dividing Orange, http://codeforces.com/contest/244/problem/A, 244, A
11, Queue at the School, http://codeforces.com/contest/266/problem/B, 266, B
12, HQ9+, http://codeforces.com/contest/133/problem/A, 133, A
13, I_love_\%username\%, http://codeforces.com/contest/155/problem/A, 155, A
14, Cakeminator, http://codeforces.com/contest/330/problem/A, 330, A
15, Word, http://codeforces.com/contest/59/problem/A, 59, A
16, Stones on the Table, http://codeforces.com/contest/266/problem/A, 266, A
17, Beautiful Year, http://codeforces.com/contest/271/problem/A, 271, A
18, Team, http://codeforces.com/contest/231/problem/A, 231, A
19, Insomnia cure, http://codeforces.com/contest/148/problem/A, 148, A
20, Vanya and Cards, http://codeforces.com/contest/401/problem/A, 401, A
21, Tram, http://codeforces.com/contest/116/problem/A, 116, A
22, Petya and Strings, http://codeforces.com/contest/112/problem/A, 112, A
23, Array, http://codeforces.com/contest/300/problem/A, 300, A
24, Little Elephant and Chess, http://codeforces.com/contest/259/problem/A, 259, A
25, Dubstep, http://codeforces.com/contest/208/problem/A, 208, A
26, Permutation, http://codeforces.com/contest/137/problem/B, 137, B
27, Magic Numbers, http://codeforces.com/contest/320/problem/A, 320, A
28, Heads or Tails, http://codeforces.com/contest/242/problem/A, 242, A
29, Present from Lena, http://codeforces.com/contest/118/problem/B, 118, B
30, Marks, http://codeforces.com/contest/152/problem/A, 152, A
31, Xenia and Ringroad, http://codeforces.com/contest/339/problem/B, 339, B
32, Lucky Division, http://codeforces.com/contest/122/problem/A, 122, A
33, Twins, http://codeforces.com/contest/160/problem/A, 160, A
34, Translation, http://codeforces.com/contest/41/problem/A, 41, A
35, Chat room, http://codeforces.com/contest/58/problem/A, 58, A
36, Football, http://codeforces.com/contest/96/problem/A, 96, A
37, Ilya and Bank Account, http://codeforces.com/contest/313/problem/A, 313, A
38, Parallelepiped, http://codeforces.com/contest/224/problem/A, 224, A
