SNo,QueName,QueLink,Contest,QueType 
1, Rewards, http://codeforces.com/contest/448/problem/A, 448, A
2, Games, http://codeforces.com/contest/268/problem/A, 268, A
3, Police Recruits, http://codeforces.com/contest/427/problem/A, 427, A
4, Squats, http://codeforces.com/contest/424/problem/A, 424, A
5, Soroban, http://codeforces.com/contest/363/problem/A, 363, A
6, Buggy Sorting, http://codeforces.com/contest/246/problem/A, 246, A
7, Mashmokh and Lights, http://codeforces.com/contest/415/problem/A, 415, A
8, Colorful Stones (Simplified Edition), http://codeforces.com/contest/265/problem/A, 265, A
9, Kyoya and Photobooks, http://codeforces.com/contest/554/problem/A, 554, A
10, Greg's Workout, http://codeforces.com/contest/255/problem/A, 255, A
11, Roma and Lucky Numbers, http://codeforces.com/contest/262/problem/A, 262, A
12, Shaass and Oskols, http://codeforces.com/contest/294/problem/A, 294, A
13, Circle Line, http://codeforces.com/contest/278/problem/A, 278, A
14, Wasted Time, http://codeforces.com/contest/127/problem/A, 127, A
15, LLPS, http://codeforces.com/contest/202/problem/A, 202, A
16, Game Outcome, http://codeforces.com/contest/157/problem/A, 157, A
17, Devu| the Singer and Churu| the Joker, http://codeforces.com/contest/439/problem/A, 439, A
18, Drazil and Date, http://codeforces.com/contest/515/problem/A, 515, A
19, Palindromic Times, http://codeforces.com/contest/108/problem/A, 108, A
20, Dima and Guards, http://codeforces.com/contest/366/problem/A, 366, A
21, Calculating Function, http://codeforces.com/contest/486/problem/A, 486, A
22, Polo the Penguin and Segments , http://codeforces.com/contest/289/problem/A, 289, A
23, Case of the Zeros and Ones, http://codeforces.com/contest/556/problem/A, 556, A
24, A and B and Chess, http://codeforces.com/contest/519/problem/A, 519, A
25, Buttons, http://codeforces.com/contest/268/problem/B, 268, B
26, Lucky Substring, http://codeforces.com/contest/122/problem/B, 122, B
27, Vasya and Digital Root, http://codeforces.com/contest/355/problem/A, 355, A
28, Sinking Ship, http://codeforces.com/contest/63/problem/A, 63, A
29, Valera and Antique Items, http://codeforces.com/contest/441/problem/A, 441, A
30, Cows and Poker Game, http://codeforces.com/contest/284/problem/B, 284, B
31, Valera and Plates, http://codeforces.com/contest/369/problem/A, 369, A
32, Little Frog, http://codeforces.com/contest/53/problem/C, 53, C
33, Lever, http://codeforces.com/contest/376/problem/A, 376, A
34, Roadside Trees (Simplified Edition), http://codeforces.com/contest/265/problem/B, 265, B
35, Table, http://codeforces.com/contest/359/problem/A, 359, A
36, Ciel and Dancing, http://codeforces.com/contest/322/problem/A, 322, A
37, Valera and X, http://codeforces.com/contest/404/problem/A, 404, A
38, Game With Sticks, http://codeforces.com/contest/451/problem/A, 451, A
39, Prison Transfer, http://codeforces.com/contest/427/problem/B, 427, B
40, Inna and Choose Options, http://codeforces.com/contest/400/problem/A, 400, A
41, Squares, http://codeforces.com/contest/263/problem/B, 263, B
42, Postcards and photos, http://codeforces.com/contest/137/problem/A, 137, A
43, Little Elephant and Magic Square, http://codeforces.com/contest/259/problem/B, 259, B
44, Lucky Ticket, http://codeforces.com/contest/146/problem/A, 146, A
45, Trace, http://codeforces.com/contest/157/problem/B, 157, B
46, Sereja and Algorithm , http://codeforces.com/contest/367/problem/A, 367, A
47, Tiling with Hexagons, http://codeforces.com/contest/216/problem/A, 216, A
48, Rook| Bishop and King, http://codeforces.com/contest/370/problem/A, 370, A
49, Megacity, http://codeforces.com/contest/424/problem/B, 424, B
50, Watchmen, http://codeforces.com/contest/650/problem/A, 650, A
51, Dorm Water Supply, http://codeforces.com/contest/107/problem/A, 107, A
52, MUH and Sticks, http://codeforces.com/contest/471/problem/A, 471, A
53, Vitaliy and Pie, http://codeforces.com/contest/525/problem/A, 525, A
54, Maxim and Discounts, http://codeforces.com/contest/261/problem/A, 261, A
55, Eugeny and Play List, http://codeforces.com/contest/302/problem/B, 302, B
56, Code Parsing, http://codeforces.com/contest/255/problem/B, 255, B
57, Unary, http://codeforces.com/contest/133/problem/B, 133, B
58, Alternative Thinking, http://codeforces.com/contest/603/problem/A, 603, A
59, Milking cows, http://codeforces.com/contest/383/problem/A, 383, A
60, Little Elephant and Numbers, http://codeforces.com/contest/221/problem/B, 221, B
61, Canvas Frames, http://codeforces.com/contest/127/problem/B, 127, B
62, Binary Number, http://codeforces.com/contest/92/problem/B, 92, B
63, Domino Effect, http://codeforces.com/contest/405/problem/B, 405, B
64, Valuable Resources, http://codeforces.com/contest/485/problem/B, 485, B
65, Bear and Elections, http://codeforces.com/contest/574/problem/A, 574, A
66, Art Union, http://codeforces.com/contest/416/problem/B, 416, B
67, Digital Counter, http://codeforces.com/contest/495/problem/A, 495, A
68, Ohana Cleans Up, http://codeforces.com/contest/554/problem/B, 554, B
69, Vasya and Football, http://codeforces.com/contest/493/problem/A, 493, A
70, Chat Online, http://codeforces.com/contest/469/problem/B, 469, B
71, Ksenia and Pan Scales, http://codeforces.com/contest/382/problem/A, 382, A
72, Bear and Poker, http://codeforces.com/contest/573/problem/A, 573, A
73, Whose sentence is it?, http://codeforces.com/contest/312/problem/A, 312, A
74, Vasya and Petya's Game, http://codeforces.com/contest/576/problem/A, 576, A
75, Good Number, http://codeforces.com/contest/365/problem/A, 365, A
76, Permutation, http://codeforces.com/contest/359/problem/B, 359, B
77, Replacement, http://codeforces.com/contest/135/problem/A, 135, A
78, Mashmokh and Numbers, http://codeforces.com/contest/414/problem/A, 414, A
79, Football Kit, http://codeforces.com/contest/432/problem/B, 432, B
80, The Wall, http://codeforces.com/contest/340/problem/A, 340, A
81, Cifera, http://codeforces.com/contest/114/problem/A, 114, A
82, Polo the Penguin and Strings, http://codeforces.com/contest/288/problem/A, 288, A
83, Fox and Number Game, http://codeforces.com/contest/389/problem/A, 389, A
84, A and B and Team Training, http://codeforces.com/contest/519/problem/C, 519, C
85, Drazil and Factorial, http://codeforces.com/contest/515/problem/C, 515, C
86, Sereja and Stairs, http://codeforces.com/contest/381/problem/B, 381, B
87, Plant, http://codeforces.com/contest/185/problem/A, 185, A
88, A and B and Compilation Errors, http://codeforces.com/contest/519/problem/B, 519, B
89, Students and Shoelaces, http://codeforces.com/contest/129/problem/B, 129, B
