SNo,QueName,QueLink,Contest,QueType 
1, Anton and Letters, http://codeforces.com/contest/443/problem/A, 443, A
2, Way Too Long Words, http://codeforces.com/contest/71/problem/A, 71, A
3, Young Physicist, http://codeforces.com/contest/69/problem/A, 69, A
4, Coder, http://codeforces.com/contest/384/problem/A, 384, A
5, Collecting Beats is Fun, http://codeforces.com/contest/373/problem/A, 373, A
6, Fox and Cross, http://codeforces.com/contest/389/problem/B, 389, B
7, Archer, http://codeforces.com/contest/312/problem/B, 312, B
8, Sereja and Suffixes, http://codeforces.com/contest/368/problem/B, 368, B
9, Ladder, http://codeforces.com/contest/279/problem/C, 279, C
10, Color the Fence, http://codeforces.com/contest/349/problem/B, 349, B
11, Vasya and Robot, http://codeforces.com/contest/354/problem/A, 354, A
12, Fools and Roads, http://codeforces.com/contest/191/problem/C, 191, C
13, Dima and Hares, http://codeforces.com/contest/358/problem/D, 358, D
14, Xenia and Weights, http://codeforces.com/contest/339/problem/C, 339, C
15, Inna and Dima, http://codeforces.com/contest/374/problem/C, 374, C
16, Cows and Sequence, http://codeforces.com/contest/283/problem/A, 283, A
17, Psychos in a Line, http://codeforces.com/contest/319/problem/B, 319, B
18, Greg and Graph, http://codeforces.com/contest/295/problem/B, 295, B
19, Number of Ways, http://codeforces.com/contest/466/problem/C, 466, C
20, Working out, http://codeforces.com/contest/429/problem/B, 429, B
21, Read Time, http://codeforces.com/contest/343/problem/C, 343, C
22, Cow Program, http://codeforces.com/contest/283/problem/B, 283, B
23, LCM Challenge, http://codeforces.com/contest/235/problem/A, 235, A
24, Bubble Sort Graph, http://codeforces.com/contest/340/problem/D, 340, D
25, Beautiful Numbers, http://codeforces.com/contest/300/problem/C, 300, C
26, Counting Kangaroos is Fun, http://codeforces.com/contest/372/problem/A, 372, A
27, Little Girl and Maximum Sum, http://codeforces.com/contest/276/problem/C, 276, C
28, Little Girl and Maximum XOR, http://codeforces.com/contest/276/problem/D, 276, D
29, No to Palindromes!, http://codeforces.com/contest/464/problem/A, 464, A
30, George and Job, http://codeforces.com/contest/467/problem/C, 467, C
31, Matrix, http://codeforces.com/contest/364/problem/A, 364, A
32, Round Table Knights, http://codeforces.com/contest/71/problem/C, 71, C
33, Caesar's Legions, http://codeforces.com/contest/118/problem/D, 118, D
34, Zero Tree, http://codeforces.com/contest/274/problem/B, 274, B
35, Maximum Submatrix 2, http://codeforces.com/contest/375/problem/B, 375, B
36, Password, http://codeforces.com/contest/126/problem/B, 126, B
37, Book of Evil, http://codeforces.com/contest/337/problem/D, 337, D
38, Lucky Tree, http://codeforces.com/contest/109/problem/C, 109, C
39, Jzzhu and Cities, http://codeforces.com/contest/449/problem/B, 449, B
40, Ciel and Duel, http://codeforces.com/contest/321/problem/B, 321, B
41, Array and Operations, http://codeforces.com/contest/498/problem/C, 498, C
