SNo,QueName,QueLink,Contest,QueType 
1, Bulbs, http://codeforces.com/contest/615/problem/A, 615, A
2, Wasted Time, http://codeforces.com/contest/127/problem/A, 127, A
3, Line to Cashier, http://codeforces.com/contest/408/problem/A, 408, A
4, Shaass and Oskols, http://codeforces.com/contest/294/problem/A, 294, A
5, Soroban, http://codeforces.com/contest/363/problem/A, 363, A
6, Soldier and Bananas, http://codeforces.com/contest/546/problem/A, 546, A
7, Mashmokh and Lights, http://codeforces.com/contest/415/problem/A, 415, A
8, Police Recruits, http://codeforces.com/contest/427/problem/A, 427, A
9, Playing with Dice, http://codeforces.com/contest/378/problem/A, 378, A
10, George and Accommodation, http://codeforces.com/contest/467/problem/A, 467, A
11, Rewards, http://codeforces.com/contest/448/problem/A, 448, A
12, Toy Army, http://codeforces.com/contest/84/problem/A, 84, A
13, Buggy Sorting, http://codeforces.com/contest/246/problem/A, 246, A
14, Combination Lock, http://codeforces.com/contest/540/problem/A, 540, A
15, Circle Line, http://codeforces.com/contest/278/problem/A, 278, A
16, Squats, http://codeforces.com/contest/424/problem/A, 424, A
17, Roma and Lucky Numbers, http://codeforces.com/contest/262/problem/A, 262, A
18, LLPS, http://codeforces.com/contest/202/problem/A, 202, A
19, Black Square, http://codeforces.com/contest/431/problem/A, 431, A
20, GukiZ and Contest, http://codeforces.com/contest/551/problem/A, 551, A
21, Games, http://codeforces.com/contest/268/problem/A, 268, A
22, Greg's Workout, http://codeforces.com/contest/255/problem/A, 255, A
23, Colorful Stones (Simplified Edition), http://codeforces.com/contest/265/problem/A, 265, A
24, Ilya and Diplomas, http://codeforces.com/contest/557/problem/A, 557, A
25, Tavas and Nafas, http://codeforces.com/contest/535/problem/A, 535, A
26, Exams, http://codeforces.com/contest/194/problem/A, 194, A
27, Lucky String, http://codeforces.com/contest/110/problem/B, 110, B
28, Vasya and Public Transport, http://codeforces.com/contest/355/problem/B, 355, B
29, Queue on Bus Stop, http://codeforces.com/contest/435/problem/A, 435, A
30, Kefa and First Steps, http://codeforces.com/contest/580/problem/A, 580, A
31, Wet Shark and Odd and Even, http://codeforces.com/contest/621/problem/A, 621, A
32, Saitama Destroys Hotel, http://codeforces.com/contest/608/problem/A, 608, A
33, Game Outcome, http://codeforces.com/contest/157/problem/A, 157, A
34, Polo the Penguin and Segments , http://codeforces.com/contest/289/problem/A, 289, A
35, Valera and X, http://codeforces.com/contest/404/problem/A, 404, A
36, Multiplication Table, http://codeforces.com/contest/577/problem/A, 577, A
37, Sinking Ship, http://codeforces.com/contest/63/problem/A, 63, A
38, Eugeny and Array, http://codeforces.com/contest/302/problem/A, 302, A
39, Little Frog, http://codeforces.com/contest/53/problem/C, 53, C
40, Olesya and Rodion, http://codeforces.com/contest/584/problem/A, 584, A
41, Cows and Poker Game, http://codeforces.com/contest/284/problem/B, 284, B
42, George and Sleep, http://codeforces.com/contest/387/problem/A, 387, A
43, Case of the Zeros and Ones, http://codeforces.com/contest/556/problem/A, 556, A
44, Vanya and Table, http://codeforces.com/contest/552/problem/A, 552, A
45, Lucky Ticket, http://codeforces.com/contest/146/problem/A, 146, A
46, Sereja and Coat Rack, http://codeforces.com/contest/368/problem/A, 368, A
47, Lucky Substring, http://codeforces.com/contest/122/problem/B, 122, B
48, Group of Students, http://codeforces.com/contest/357/problem/A, 357, A
49, Ciel and Dancing, http://codeforces.com/contest/322/problem/A, 322, A
50, Vasya and Digital Root, http://codeforces.com/contest/355/problem/A, 355, A
51, Inna and Choose Options, http://codeforces.com/contest/400/problem/A, 400, A
52, Lever, http://codeforces.com/contest/376/problem/A, 376, A
53, Calculating Function, http://codeforces.com/contest/486/problem/A, 486, A
54, Bear and Raspberry, http://codeforces.com/contest/385/problem/A, 385, A
55, Amr and Music, http://codeforces.com/contest/507/problem/A, 507, A
56, Currency System in Geraldion, http://codeforces.com/contest/560/problem/A, 560, A
57, Toy Cars, http://codeforces.com/contest/545/problem/A, 545, A
58, Lecture, http://codeforces.com/contest/499/problem/B, 499, B
59, Little Elephant and Magic Square, http://codeforces.com/contest/259/problem/B, 259, B
60, Arrays, http://codeforces.com/contest/572/problem/A, 572, A
61, Initial Bet, http://codeforces.com/contest/478/problem/A, 478, A
62, Trace, http://codeforces.com/contest/157/problem/B, 157, B
63, Valera and Antique Items, http://codeforces.com/contest/441/problem/A, 441, A
64, Buttons, http://codeforces.com/contest/268/problem/B, 268, B
65, Game With Sticks, http://codeforces.com/contest/451/problem/A, 451, A
66, Devu| the Singer and Churu| the Joker, http://codeforces.com/contest/439/problem/A, 439, A
67, A and B and Chess, http://codeforces.com/contest/519/problem/A, 519, A
68, Squares, http://codeforces.com/contest/263/problem/B, 263, B
69, Prison Transfer, http://codeforces.com/contest/427/problem/B, 427, B
70, Valera and Plates, http://codeforces.com/contest/369/problem/A, 369, A
71, Roadside Trees (Simplified Edition), http://codeforces.com/contest/265/problem/B, 265, B
72, Simple Game, http://codeforces.com/contest/570/problem/B, 570, B
73, Elections, http://codeforces.com/contest/570/problem/A, 570, A
74, Magical Array, http://codeforces.com/contest/83/problem/A, 83, A
75, Combination, http://codeforces.com/contest/155/problem/B, 155, B
76, Magic Spheres, http://codeforces.com/contest/606/problem/A, 606, A
77, Whose sentence is it?, http://codeforces.com/contest/312/problem/A, 312, A
78, Devu| the Dumb Guy, http://codeforces.com/contest/439/problem/B, 439, B
79, Sockets, http://codeforces.com/contest/257/problem/A, 257, A
80, Vasya and Petya's Game, http://codeforces.com/contest/576/problem/A, 576, A
81, Art Union, http://codeforces.com/contest/416/problem/B, 416, B
82, Coins, http://codeforces.com/contest/58/problem/B, 58, B
83, K-special Tables, http://codeforces.com/contest/625/problem/C, 625, C
84, Wet Shark and Bishops, http://codeforces.com/contest/621/problem/B, 621, B
85, Chewba?ca and Number, http://codeforces.com/contest/514/problem/A, 514, A
86, Binary Number, http://codeforces.com/contest/92/problem/B, 92, B
87, Snow Footprints, http://codeforces.com/contest/298/problem/A, 298, A
88, Levko and Permutation, http://codeforces.com/contest/361/problem/B, 361, B
89, Watchmen, http://codeforces.com/contest/650/problem/A, 650, A
90, Vitaliy and Pie, http://codeforces.com/contest/525/problem/A, 525, A
91, Prizes| Prizes| more Prizes, http://codeforces.com/contest/208/problem/D, 208, D
92, Email address, http://codeforces.com/contest/41/problem/C, 41, C
93, Permutation, http://codeforces.com/contest/359/problem/B, 359, B
94, Petya and Java, http://codeforces.com/contest/66/problem/A, 66, A
95, Far Relative’s Problem, http://codeforces.com/contest/629/problem/B, 629, B
96, Polo the Penguin and Strings, http://codeforces.com/contest/288/problem/A, 288, A
97, Sorting Railway Cars, http://codeforces.com/contest/605/problem/A, 605, A
98, Wilbur and Array, http://codeforces.com/contest/596/problem/B, 596, B
99, Little Xor, http://codeforces.com/contest/252/problem/A, 252, A
100, Appleman and Toastman, http://codeforces.com/contest/461/problem/A, 461, A
101, Lala Land and Apple Trees, http://codeforces.com/contest/558/problem/A, 558, A
102, Cifera, http://codeforces.com/contest/114/problem/A, 114, A
103, Fox and Number Game, http://codeforces.com/contest/389/problem/A, 389, A
104, The Monster and the Squirrel, http://codeforces.com/contest/592/problem/B, 592, B
105, The Child and Homework, http://codeforces.com/contest/437/problem/A, 437, A
106, Replacement, http://codeforces.com/contest/135/problem/A, 135, A
107, Mashmokh and Numbers, http://codeforces.com/contest/414/problem/A, 414, A
108, Unary, http://codeforces.com/contest/133/problem/B, 133, B
109, Good Number, http://codeforces.com/contest/365/problem/A, 365, A
110, George and Round, http://codeforces.com/contest/387/problem/B, 387, B
111, Students and Shoelaces, http://codeforces.com/contest/129/problem/B, 129, B
112, Print Check, http://codeforces.com/contest/631/problem/B, 631, B
113, War of the Corporations, http://codeforces.com/contest/625/problem/B, 625, B
114, Digital Counter, http://codeforces.com/contest/495/problem/A, 495, A
115, K-Periodic Array, http://codeforces.com/contest/371/problem/A, 371, A
116, Tavas and SaDDas, http://codeforces.com/contest/535/problem/B, 535, B
117, Alyona and Numbers, http://codeforces.com/contest/682/problem/A, 682, A
118, Case of Fake Numbers, http://codeforces.com/contest/556/problem/B, 556, B
119, Football Kit, http://codeforces.com/contest/432/problem/B, 432, B
120, Vanya and Books, http://codeforces.com/contest/552/problem/B, 552, B
121, Equidistant String, http://codeforces.com/contest/545/problem/B, 545, B
122, Lucky Conversion, http://codeforces.com/contest/145/problem/A, 145, A
123, Rebranding, http://codeforces.com/contest/591/problem/B, 591, B
124, The Wall, http://codeforces.com/contest/340/problem/A, 340, A
125, Diverse Permutation, http://codeforces.com/contest/482/problem/A, 482, A
126, A and B and Team Training, http://codeforces.com/contest/519/problem/C, 519, C
127, Anton and currency you all know, http://codeforces.com/contest/508/problem/B, 508, B
128, Bear and Elections, http://codeforces.com/contest/574/problem/A, 574, A
129, Chat Online, http://codeforces.com/contest/469/problem/B, 469, B
130, Ksenia and Pan Scales, http://codeforces.com/contest/382/problem/A, 382, A
131, Valuable Resources, http://codeforces.com/contest/485/problem/B, 485, B
132, Strings of Power, http://codeforces.com/contest/318/problem/B, 318, B
133, Petya and Staircases, http://codeforces.com/contest/362/problem/B, 362, B
134, Ohana Cleans Up, http://codeforces.com/contest/554/problem/B, 554, B
135, Beautiful Paintings, http://codeforces.com/contest/651/problem/B, 651, B
136, Vasya and Football, http://codeforces.com/contest/493/problem/A, 493, A
137, Random Teams, http://codeforces.com/contest/478/problem/B, 478, B
138, Sereja and Stairs, http://codeforces.com/contest/381/problem/B, 381, B
139, Bear and Strings, http://codeforces.com/contest/385/problem/B, 385, B
140, A and B and Compilation Errors, http://codeforces.com/contest/519/problem/B, 519, B
141, Drazil and Factorial, http://codeforces.com/contest/515/problem/C, 515, C
142, Misha and Changing Handles, http://codeforces.com/contest/501/problem/B, 501, B
143, Fedor and New Game, http://codeforces.com/contest/467/problem/B, 467, B
144, Alyona and the Tree, http://codeforces.com/contest/682/problem/C, 682, C
145, Gena's Code, http://codeforces.com/contest/614/problem/B, 614, B
146, Mike and Chocolate Thieves, http://codeforces.com/contest/689/problem/C, 689, C
147, Unusual Product, http://codeforces.com/contest/405/problem/C, 405, C
148, Economy Game, http://codeforces.com/contest/681/problem/B, 681, B
149, Arpa’s obvious problem and Mehrdad’s terrible solution, http://codeforces.com/contest/742/problem/B, 742, B
150, Unsorting Array, http://codeforces.com/contest/252/problem/B, 252, B
151, Guess a number!, http://codeforces.com/contest/416/problem/A, 416, A
152, Plate Game, http://codeforces.com/contest/197/problem/A, 197, A
153, Preparing Olympiad, http://codeforces.com/contest/550/problem/B, 550, B
154, Mike and Cellphone, http://codeforces.com/contest/689/problem/A, 689, A
155, Pasha Maximizes, http://codeforces.com/contest/435/problem/B, 435, B
156, Guest From the Past, http://codeforces.com/contest/625/problem/A, 625, A
157, Limit, http://codeforces.com/contest/197/problem/B, 197, B
158, Order Book, http://codeforces.com/contest/572/problem/B, 572, B
159, Watering Flowers, http://codeforces.com/contest/617/problem/C, 617, C
160, Dima and Text Messages, http://codeforces.com/contest/358/problem/B, 358, B
161, Taxes, http://codeforces.com/contest/735/problem/D, 735, D
162, Replacement, http://codeforces.com/contest/570/problem/C, 570, C
163, MUH and Important Things, http://codeforces.com/contest/471/problem/B, 471, B
164, Ilya and Sticks, http://codeforces.com/contest/525/problem/C, 525, C
165, Cthulhu, http://codeforces.com/contest/103/problem/B, 103, B
166, Bakery, http://codeforces.com/contest/707/problem/B, 707, B
167, New Problem, http://codeforces.com/contest/278/problem/B, 278, B
168, Hamming Distance Sum, http://codeforces.com/contest/608/problem/B, 608, B
169, Dima and Sequence, http://codeforces.com/contest/272/problem/B, 272, B
170, Dima and Lisa, http://codeforces.com/contest/584/problem/D, 584, D
171, Soldier and Badges, http://codeforces.com/contest/546/problem/B, 546, B
172, Hard problem, http://codeforces.com/contest/706/problem/C, 706, C
173, PawnChess, http://codeforces.com/contest/592/problem/A, 592, A
174, Pasha and Tea, http://codeforces.com/contest/557/problem/B, 557, B
175, Mike and Fun, http://codeforces.com/contest/548/problem/B, 548, B
176, Kolya and Tanya , http://codeforces.com/contest/584/problem/B, 584, B
177, Pasha and String, http://codeforces.com/contest/525/problem/B, 525, B
178, Vasya and String, http://codeforces.com/contest/676/problem/C, 676, C
179, Bits, http://codeforces.com/contest/484/problem/A, 484, A
180, DZY Loves Chemistry, http://codeforces.com/contest/445/problem/B, 445, B
181, Bear and Three Musketeers, http://codeforces.com/contest/574/problem/B, 574, B
182, More Cowbell, http://codeforces.com/contest/604/problem/B, 604, B
183, Secret Combination, http://codeforces.com/contest/496/problem/B, 496, B
184, Burning Midnight Oil, http://codeforces.com/contest/165/problem/B, 165, B
185, Heap Operations, http://codeforces.com/contest/681/problem/C, 681, C
186, k-Multiple Free Set, http://codeforces.com/contest/274/problem/A, 274, A
187, Kefa and Company, http://codeforces.com/contest/580/problem/B, 580, B
188, Queue, http://codeforces.com/contest/545/problem/D, 545, D
189, Amr and The Large Array, http://codeforces.com/contest/558/problem/B, 558, B
190, Gerald is into Art, http://codeforces.com/contest/560/problem/B, 560, B
191, Modular Equations, http://codeforces.com/contest/495/problem/B, 495, B
192, Han Solo and Lazer Gun, http://codeforces.com/contest/514/problem/B, 514, B
193, Approximating a Constant Range, http://codeforces.com/contest/602/problem/B, 602, B
194, OR in Matrix, http://codeforces.com/contest/486/problem/B, 486, B
195, Amr and Pins, http://codeforces.com/contest/507/problem/B, 507, B
196, Two Substrings, http://codeforces.com/contest/550/problem/A, 550, A
197, Soldier and Cards, http://codeforces.com/contest/546/problem/C, 546, C
198, Vasya and Wrestling, http://codeforces.com/contest/493/problem/B, 493, B
199, Kefa and Park, http://codeforces.com/contest/580/problem/C, 580, C
200, Woodcutters, http://codeforces.com/contest/545/problem/C, 545, C
