SNo,QueName,QueLink,Contest,QueType 
1, Sereja and Dima, http://codeforces.com/contest/381/problem/A, 381, A
2, Gravity Flip, http://codeforces.com/contest/405/problem/A, 405, A
3, Little Pony and Crystal Mine, http://codeforces.com/contest/454/problem/A, 454, A
4, Anton and Letters, http://codeforces.com/contest/443/problem/A, 443, A
5, Fox And Snake, http://codeforces.com/contest/510/problem/A, 510, A
6, inc ARG, http://codeforces.com/contest/465/problem/A, 465, A
7, Caisa and Pylons, http://codeforces.com/contest/463/problem/B, 463, B
8, Puzzles, http://codeforces.com/contest/337/problem/A, 337, A
9, Chat room, http://codeforces.com/contest/58/problem/A, 58, A
10, Vasya and Socks, http://codeforces.com/contest/460/problem/A, 460, A
11, I Wanna Be the Guy, http://codeforces.com/contest/469/problem/A, 469, A
12, Expression, http://codeforces.com/contest/479/problem/A, 479, A
13, Counterexample , http://codeforces.com/contest/483/problem/A, 483, A
14, Flipping Game, http://codeforces.com/contest/327/problem/A, 327, A
15, Pashmak and Garden, http://codeforces.com/contest/459/problem/A, 459, A
16, Ilya and Queries, http://codeforces.com/contest/313/problem/B, 313, B
17, Cheap Travel, http://codeforces.com/contest/466/problem/A, 466, A
18, Little Pony and Expected Maximum, http://codeforces.com/contest/453/problem/A, 453, A
19, Caisa and Sugar, http://codeforces.com/contest/463/problem/A, 463, A
20, Cut Ribbon, http://codeforces.com/contest/189/problem/A, 189, A
21, Writing Code, http://codeforces.com/contest/543/problem/A, 543, A
22, Tennis Game, http://codeforces.com/contest/496/problem/D, 496, D
23, Towers, http://codeforces.com/contest/479/problem/B, 479, B
24, Ryouko's Memory Note, http://codeforces.com/contest/433/problem/C, 433, C
25, Knight Tournament, http://codeforces.com/contest/356/problem/A, 356, A
26, Andrey and Problem, http://codeforces.com/contest/442/problem/B, 442, B
27, Password, http://codeforces.com/contest/126/problem/B, 126, B
28, Interesting Array, http://codeforces.com/contest/482/problem/B, 482, B
29, Fox And Two Dots, http://codeforces.com/contest/510/problem/B, 510, B
30, Xenia and Bit Operations, http://codeforces.com/contest/339/problem/D, 339, D
31, k-Tree, http://codeforces.com/contest/431/problem/C, 431, C
32, Read Time, http://codeforces.com/contest/343/problem/C, 343, C
33, Boredom, http://codeforces.com/contest/455/problem/A, 455, A
34, Fools and Roads, http://codeforces.com/contest/191/problem/C, 191, C
35, DZY Loves Sequences, http://codeforces.com/contest/446/problem/A, 446, A
36, Breaking Good, http://codeforces.com/contest/507/problem/E, 507, E
37, Red-Green Towers, http://codeforces.com/contest/478/problem/D, 478, D
38, Pashmak and Buses, http://codeforces.com/contest/459/problem/C, 459, C
39, Mashmokh and Reverse Operation, http://codeforces.com/contest/414/problem/C, 414, C
40, Sereja and Table , http://codeforces.com/contest/425/problem/B, 425, B
41, R2D2 and Droid Army, http://codeforces.com/contest/514/problem/D, 514, D
42, Strip, http://codeforces.com/contest/487/problem/B, 487, B
43, Destroying Roads, http://codeforces.com/contest/543/problem/B, 543, B
44, A and B and Lecture Rooms, http://codeforces.com/contest/519/problem/E, 519, E
45, Obsessive String, http://codeforces.com/contest/494/problem/B, 494, B
46, Restore Cube , http://codeforces.com/contest/464/problem/B, 464, B
47, Roman and Numbers, http://codeforces.com/contest/401/problem/D, 401, D
48, Water Tree, http://codeforces.com/contest/343/problem/D, 343, D
49, Towers, http://codeforces.com/contest/229/problem/D, 229, D
50, Maximum Value, http://codeforces.com/contest/484/problem/B, 484, B
51, Valera and Swaps, http://codeforces.com/contest/441/problem/D, 441, D
52, Increase Sequence, http://codeforces.com/contest/466/problem/D, 466, D
53, Wonder Room, http://codeforces.com/contest/466/problem/B, 466, B
54, Devu and Partitioning of the Array, http://codeforces.com/contest/439/problem/C, 439, C
55, Gerald and Giant Chess, http://codeforces.com/contest/559/problem/C, 559, C
56, Watching Fireworks is Fun, http://codeforces.com/contest/372/problem/C, 372, C
57, Jeff and Rounding, http://codeforces.com/contest/351/problem/A, 351, A
58, Ciel the Commander, http://codeforces.com/contest/321/problem/C, 321, C
59, Painting Fence, http://codeforces.com/contest/448/problem/C, 448, C
60, Little Pony and Harmony Chest, http://codeforces.com/contest/453/problem/B, 453, B
61, Case of Chocolate, http://codeforces.com/contest/555/problem/C, 555, C
62, Lucky Common Subsequence, http://codeforces.com/contest/346/problem/B, 346, B
63, Sereja and Brackets, http://codeforces.com/contest/380/problem/C, 380, C
64, Kalila and Dimna in the Logging Industry, http://codeforces.com/contest/319/problem/C, 319, C
65, String, http://codeforces.com/contest/128/problem/B, 128, B
66, Civilization, http://codeforces.com/contest/455/problem/C, 455, C
67, XOR on Segment, http://codeforces.com/contest/242/problem/E, 242, E
68, Prefixes and Suffixes, http://codeforces.com/contest/432/problem/D, 432, D
69, Appleman and Tree, http://codeforces.com/contest/461/problem/B, 461, B
70, Enemy is weak, http://codeforces.com/contest/61/problem/E, 61, E
71, Jzzhu and Cities, http://codeforces.com/contest/449/problem/B, 449, B
72, Substitutes in Number, http://codeforces.com/contest/464/problem/C, 464, C
73, Little Elephant and Array, http://codeforces.com/contest/220/problem/B, 220, B
74, Pashmak and Graph, http://codeforces.com/contest/459/problem/E, 459, E
75, Propagating tree, http://codeforces.com/contest/383/problem/C, 383, C
76, Match & Catch, http://codeforces.com/contest/427/problem/D, 427, D
77, A Simple Task, http://codeforces.com/contest/558/problem/E, 558, E
78, Prefix Product Sequence, http://codeforces.com/contest/487/problem/C, 487, C
79, Vasya and Beautiful Arrays, http://codeforces.com/contest/354/problem/C, 354, C
80, Road Improvement, http://codeforces.com/contest/543/problem/D, 543, D
81, Tree Requests, http://codeforces.com/contest/570/problem/D, 570, D
82, Sereja and Squares, http://codeforces.com/contest/425/problem/D, 425, D
83, LIS of Sequence, http://codeforces.com/contest/486/problem/E, 486, E
84, Jzzhu and Numbers, http://codeforces.com/contest/449/problem/D, 449, D
85, Captains Mode, http://codeforces.com/contest/377/problem/C, 377, C
86, Mike and Foam, http://codeforces.com/contest/547/problem/C, 547, C
87, Devu and Birthday Celebration, http://codeforces.com/contest/439/problem/E, 439, E
88, Martian Strings, http://codeforces.com/contest/149/problem/E, 149, E
89, Hill Climbing, http://codeforces.com/contest/406/problem/D, 406, D
90, Antimatter, http://codeforces.com/contest/383/problem/D, 383, D
91, Tricky Function, http://codeforces.com/contest/429/problem/D, 429, D
92, The Child and Sequence, http://codeforces.com/contest/438/problem/D, 438, D
93, Tanya and Password, http://codeforces.com/contest/508/problem/D, 508, D
94, Fedor and Essay, http://codeforces.com/contest/467/problem/D, 467, D
95, Xenia and Tree, http://codeforces.com/contest/342/problem/E, 342, E
96, DZY Loves Fibonacci Numbers, http://codeforces.com/contest/446/problem/C, 446, C
97, Ann and Half-Palindrome, http://codeforces.com/contest/557/problem/E, 557, E
98, Kindergarten, http://codeforces.com/contest/484/problem/D, 484, D
99, Tree and Queries, http://codeforces.com/contest/375/problem/D, 375, D
100, Serega and Fun, http://codeforces.com/contest/455/problem/D, 455, D
