SNo,QueName,QueLink,Contest,QueType 
1, Arrival of the General, http://codeforces.com/contest/144/problem/A, 144, A
2, Beautiful Matrix, http://codeforces.com/contest/263/problem/A, 263, A
3, Ultra-Fast Mathematician, http://codeforces.com/contest/61/problem/A, 61, A
4, Blackjack, http://codeforces.com/contest/104/problem/A, 104, A
5, HQ9+, http://codeforces.com/contest/133/problem/A, 133, A
6, I_love_\%username\%, http://codeforces.com/contest/155/problem/A, 155, A
7, Petya and Strings, http://codeforces.com/contest/112/problem/A, 112, A
8, Cookies, http://codeforces.com/contest/129/problem/A, 129, A
9, Candy Bags, http://codeforces.com/contest/334/problem/A, 334, A
10, Drinks, http://codeforces.com/contest/200/problem/B, 200, B
11, Vasily the Bear and Triangle, http://codeforces.com/contest/336/problem/A, 336, A
12, Lunch Rush, http://codeforces.com/contest/276/problem/A, 276, A
13, Cakeminator, http://codeforces.com/contest/330/problem/A, 330, A
14, Stones on the Table, http://codeforces.com/contest/266/problem/A, 266, A
15, Bit++, http://codeforces.com/contest/282/problem/A, 282, A
16, Levko and Table, http://codeforces.com/contest/361/problem/A, 361, A
17, Young Physicist, http://codeforces.com/contest/69/problem/A, 69, A
18, Chips, http://codeforces.com/contest/92/problem/A, 92, A
19, Tram, http://codeforces.com/contest/116/problem/A, 116, A
20, Queue at the School, http://codeforces.com/contest/266/problem/B, 266, B
21, Way Too Long Words, http://codeforces.com/contest/71/problem/A, 71, A
22, Present from Lena, http://codeforces.com/contest/118/problem/B, 118, B
23, Jeff and Digits, http://codeforces.com/contest/352/problem/A, 352, A
24, Slightly Decreasing Permutations, http://codeforces.com/contest/285/problem/A, 285, A
25, Sale, http://codeforces.com/contest/34/problem/B, 34, B
26, Fancy Fence, http://codeforces.com/contest/270/problem/A, 270, A
27, Dragons, http://codeforces.com/contest/230/problem/A, 230, A
28, The number of positions, http://codeforces.com/contest/124/problem/A, 124, A
29, Translation, http://codeforces.com/contest/41/problem/A, 41, A
30, Wizards and Demonstration, http://codeforces.com/contest/168/problem/A, 168, A
31, Xenia and Ringroad, http://codeforces.com/contest/339/problem/B, 339, B
32, Little Elephant and Rozdil, http://codeforces.com/contest/205/problem/A, 205, A
33, Life Without Zeros, http://codeforces.com/contest/75/problem/A, 75, A
34, Football, http://codeforces.com/contest/43/problem/A, 43, A
35, Dubstep, http://codeforces.com/contest/208/problem/A, 208, A
36, Magic Numbers, http://codeforces.com/contest/320/problem/A, 320, A
37, String Task, http://codeforces.com/contest/118/problem/A, 118, A
38, Lucky Division, http://codeforces.com/contest/122/problem/A, 122, A
39, Array, http://codeforces.com/contest/300/problem/A, 300, A
40, Sum of Digits, http://codeforces.com/contest/102/problem/B, 102, B
41, k-String, http://codeforces.com/contest/219/problem/A, 219, A
42, Puzzles, http://codeforces.com/contest/337/problem/A, 337, A
43, Next Test, http://codeforces.com/contest/27/problem/A, 27, A
44, Laptops, http://codeforces.com/contest/456/problem/A, 456, A
45, Pashmak and Garden, http://codeforces.com/contest/459/problem/A, 459, A
46, Lucky Sum, http://codeforces.com/contest/121/problem/A, 121, A
47, Kuriyama Mirai's Stones, http://codeforces.com/contest/433/problem/B, 433, B
48, Kitahara Haruki's Gift, http://codeforces.com/contest/433/problem/A, 433, A
49, The Fibonacci Segment, http://codeforces.com/contest/365/problem/B, 365, B
50, Difference Row, http://codeforces.com/contest/347/problem/A, 347, A
51, Little Pigs and Wolves, http://codeforces.com/contest/116/problem/B, 116, B
52, T-primes, http://codeforces.com/contest/230/problem/B, 230, B
53, Xenia and Divisors, http://codeforces.com/contest/342/problem/A, 342, A
54, Learning Languages, http://codeforces.com/contest/277/problem/A, 277, A
55, The Child and Toy, http://codeforces.com/contest/437/problem/C, 437, C
56, Sail, http://codeforces.com/contest/298/problem/B, 298, B
57, Find Marble, http://codeforces.com/contest/285/problem/B, 285, B
58, Free Cash, http://codeforces.com/contest/237/problem/A, 237, A
59, Roma and Changing Signs, http://codeforces.com/contest/262/problem/B, 262, B
60, Dreamoon and WiFi, http://codeforces.com/contest/476/problem/B, 476, B
61, Dima and Staircase, http://codeforces.com/contest/272/problem/C, 272, C
62, Comparing Strings, http://codeforces.com/contest/186/problem/A, 186, A
63, Sereja and Array, http://codeforces.com/contest/315/problem/B, 315, B
64, Sereja and Suffixes, http://codeforces.com/contest/368/problem/B, 368, B
65, Pashmak and Flowers, http://codeforces.com/contest/459/problem/B, 459, B
66, Simple Molecules, http://codeforces.com/contest/344/problem/B, 344, B
67, DZY Loves Chessboard, http://codeforces.com/contest/445/problem/A, 445, A
68, Fixed Points, http://codeforces.com/contest/347/problem/B, 347, B
69, Hungry Sequence, http://codeforces.com/contest/327/problem/B, 327, B
70, Building Permutation, http://codeforces.com/contest/285/problem/C, 285, C
71, Road Construction, http://codeforces.com/contest/330/problem/B, 330, B
72, Little Girl and Game, http://codeforces.com/contest/276/problem/B, 276, B
73, Fence, http://codeforces.com/contest/363/problem/B, 363, B
74, Flipping Game, http://codeforces.com/contest/327/problem/A, 327, A
75, Cut Ribbon, http://codeforces.com/contest/189/problem/A, 189, A
76, Ilya and Queries, http://codeforces.com/contest/313/problem/B, 313, B
77, Little Dima and Equation, http://codeforces.com/contest/460/problem/B, 460, B
78, George and Job, http://codeforces.com/contest/467/problem/C, 467, C
79, Sereja and Bottles, http://codeforces.com/contest/315/problem/A, 315, A
80, Routine Problem, http://codeforces.com/contest/337/problem/B, 337, B
81, Hamburgers, http://codeforces.com/contest/371/problem/C, 371, C
82, Jzzhu and Sequences, http://codeforces.com/contest/450/problem/B, 450, B
83, Flag Day, http://codeforces.com/contest/357/problem/B, 357, B
84, Valera and Fruits, http://codeforces.com/contest/441/problem/B, 441, B
85, Fox Dividing Cheese, http://codeforces.com/contest/371/problem/B, 371, B
86, Dima and Continuous Line, http://codeforces.com/contest/358/problem/A, 358, A
87, Lucky Numbers (easy), http://codeforces.com/contest/96/problem/B, 96, B
88, Coach, http://codeforces.com/contest/300/problem/B, 300, B
89, Ciel and Flowers, http://codeforces.com/contest/322/problem/B, 322, B
90, k-Tree, http://codeforces.com/contest/431/problem/C, 431, C
91, Maximum Absurdity, http://codeforces.com/contest/332/problem/B, 332, B
92, Fixing Typos, http://codeforces.com/contest/363/problem/C, 363, C
93, Exams, http://codeforces.com/contest/479/problem/C, 479, C
94, Boredom, http://codeforces.com/contest/455/problem/A, 455, A
95, Prime Matrix, http://codeforces.com/contest/271/problem/B, 271, B
96, Books, http://codeforces.com/contest/279/problem/B, 279, B
97, Little Girl and Maximum Sum, http://codeforces.com/contest/276/problem/C, 276, C
98, Tetrahedron, http://codeforces.com/contest/166/problem/E, 166, E
99, XOR and OR, http://codeforces.com/contest/282/problem/C, 282, C
100, Painting Eggs, http://codeforces.com/contest/282/problem/B, 282, B
