SNo,QueName,QueLink,Contest,QueType 
1, Rewards, http://codeforces.com/contest/448/problem/A, 448, A
2, Kyoya and Photobooks, http://codeforces.com/contest/554/problem/A, 554, A
3, Playing with Dice, http://codeforces.com/contest/378/problem/A, 378, A
4, George and Accommodation, http://codeforces.com/contest/467/problem/A, 467, A
5, Bear and Finding Criminals, http://codeforces.com/contest/680/problem/B, 680, B
6, Table, http://codeforces.com/contest/359/problem/A, 359, A
7, Lever, http://codeforces.com/contest/376/problem/A, 376, A
8, Drazil and Date, http://codeforces.com/contest/515/problem/A, 515, A
9, Exams, http://codeforces.com/contest/194/problem/A, 194, A
10, Bear and Five Cards, http://codeforces.com/contest/680/problem/A, 680, A
11, Amr and Music, http://codeforces.com/contest/507/problem/A, 507, A
12, Initial Bet, http://codeforces.com/contest/478/problem/A, 478, A
13, Game With Sticks, http://codeforces.com/contest/451/problem/A, 451, A
14, Devu| the Singer and Churu| the Joker, http://codeforces.com/contest/439/problem/A, 439, A
15, Joysticks, http://codeforces.com/contest/651/problem/A, 651, A
16, Arrays, http://codeforces.com/contest/572/problem/A, 572, A
17, Case of the Zeros and Ones, http://codeforces.com/contest/556/problem/A, 556, A
18, Multiplication Table, http://codeforces.com/contest/577/problem/A, 577, A
19, Currency System in Geraldion, http://codeforces.com/contest/560/problem/A, 560, A
20, Domino Effect, http://codeforces.com/contest/405/problem/B, 405, B
21, Case of Fake Numbers, http://codeforces.com/contest/556/problem/B, 556, B
22, Sereja and Stairs, http://codeforces.com/contest/381/problem/B, 381, B
23, Bear and Poker, http://codeforces.com/contest/573/problem/A, 573, A
24, I.O.U., http://codeforces.com/contest/376/problem/B, 376, B
25, Nuts, http://codeforces.com/contest/402/problem/A, 402, A
26, The Wall, http://codeforces.com/contest/340/problem/A, 340, A
27, Semifinals, http://codeforces.com/contest/378/problem/B, 378, B
28, Valuable Resources, http://codeforces.com/contest/485/problem/B, 485, B
29, Prizes| Prizes| more Prizes, http://codeforces.com/contest/208/problem/D, 208, D
30, Fox and Number Game, http://codeforces.com/contest/389/problem/A, 389, A
31, Simple Game, http://codeforces.com/contest/570/problem/B, 570, B
32, Elections, http://codeforces.com/contest/570/problem/A, 570, A
33, Strings of Power, http://codeforces.com/contest/318/problem/B, 318, B
34, Permutation, http://codeforces.com/contest/359/problem/B, 359, B
35, Art Union, http://codeforces.com/contest/416/problem/B, 416, B
36, Diverse Permutation, http://codeforces.com/contest/482/problem/A, 482, A
37, MUH and Sticks, http://codeforces.com/contest/471/problem/A, 471, A
38, Kyoya and Colored Balls, http://codeforces.com/contest/553/problem/A, 553, A
39, Mashmokh and Numbers, http://codeforces.com/contest/414/problem/A, 414, A
40, Devu| the Dumb Guy, http://codeforces.com/contest/439/problem/B, 439, B
41, Random Teams, http://codeforces.com/contest/478/problem/B, 478, B
42, Chat Online, http://codeforces.com/contest/469/problem/B, 469, B
43, Milking cows, http://codeforces.com/contest/383/problem/A, 383, A
44, Basketball Team, http://codeforces.com/contest/107/problem/B, 107, B
45, Dynasty Puzzles, http://codeforces.com/contest/191/problem/A, 191, A
46, Case of Matryoshkas, http://codeforces.com/contest/555/problem/A, 555, A
47, Report, http://codeforces.com/contest/631/problem/C, 631, C
48, Petya and Inequiations, http://codeforces.com/contest/111/problem/A, 111, A
49, Guess Your Way Out!, http://codeforces.com/contest/507/problem/C, 507, C
50, Naughty Stone Piles, http://codeforces.com/contest/226/problem/B, 226, B
