SNo,QueName,QueLink,Contest,QueType 
1, George and Accommodation, http://codeforces.com/contest/467/problem/A, 467, A
2, Spit Problem, http://codeforces.com/contest/29/problem/A, 29, A
3, Sereja and Mugs, http://codeforces.com/contest/426/problem/A, 426, A
4, Playing with Dice, http://codeforces.com/contest/378/problem/A, 378, A
5, Kyoya and Photobooks, http://codeforces.com/contest/554/problem/A, 554, A
6, Haiku, http://codeforces.com/contest/78/problem/A, 78, A
7, Soroban, http://codeforces.com/contest/363/problem/A, 363, A
8, Table, http://codeforces.com/contest/359/problem/A, 359, A
9, Valera and Plates, http://codeforces.com/contest/369/problem/A, 369, A
10, Sinking Ship, http://codeforces.com/contest/63/problem/A, 63, A
11, Case of the Zeros and Ones, http://codeforces.com/contest/556/problem/A, 556, A
12, Drazil and Date, http://codeforces.com/contest/515/problem/A, 515, A
13, Bear and Raspberry, http://codeforces.com/contest/385/problem/A, 385, A
14, Worms Evolution, http://codeforces.com/contest/31/problem/A, 31, A
15, Group of Students, http://codeforces.com/contest/357/problem/A, 357, A
16, Lever, http://codeforces.com/contest/376/problem/A, 376, A
17, Lucky Ticket, http://codeforces.com/contest/146/problem/A, 146, A
18, Game With Sticks, http://codeforces.com/contest/451/problem/A, 451, A
19, Depression, http://codeforces.com/contest/80/problem/B, 80, B
20, Easter Eggs, http://codeforces.com/contest/78/problem/B, 78, B
21, Vasya and Digital Root, http://codeforces.com/contest/355/problem/A, 355, A
22, Sereja and Coat Rack, http://codeforces.com/contest/368/problem/A, 368, A
23, Multiplication Table, http://codeforces.com/contest/577/problem/A, 577, A
24, Canvas Frames, http://codeforces.com/contest/127/problem/B, 127, B
25, Petya and Staircases, http://codeforces.com/contest/362/problem/B, 362, B
26, Progress Bar, http://codeforces.com/contest/71/problem/B, 71, B
27, A and B and Compilation Errors, http://codeforces.com/contest/519/problem/B, 519, B
28, Bear and Strings, http://codeforces.com/contest/385/problem/B, 385, B
29, Dorm Water Supply, http://codeforces.com/contest/107/problem/A, 107, A
30, Permutation, http://codeforces.com/contest/359/problem/B, 359, B
31, Appleman and Toastman, http://codeforces.com/contest/461/problem/A, 461, A
32, Strings of Power, http://codeforces.com/contest/318/problem/B, 318, B
33, Lexicographically Maximum Subsequence, http://codeforces.com/contest/196/problem/A, 196, A
34, Whose sentence is it?, http://codeforces.com/contest/312/problem/A, 312, A
35, Milking cows, http://codeforces.com/contest/383/problem/A, 383, A
36, Sereja and Stairs, http://codeforces.com/contest/381/problem/B, 381, B
37, Good Number, http://codeforces.com/contest/365/problem/A, 365, A
38, Mashmokh and Numbers, http://codeforces.com/contest/414/problem/A, 414, A
39, Fox and Number Game, http://codeforces.com/contest/389/problem/A, 389, A
40, Levko and Permutation, http://codeforces.com/contest/361/problem/B, 361, B
41, Xor-tree, http://codeforces.com/contest/429/problem/A, 429, A
42, Prizes| Prizes| more Prizes, http://codeforces.com/contest/208/problem/D, 208, D
43, Find Pair, http://codeforces.com/contest/160/problem/C, 160, C
44, Magic Box, http://codeforces.com/contest/231/problem/D, 231, D
45, Bits, http://codeforces.com/contest/484/problem/A, 484, A
46, History, http://codeforces.com/contest/137/problem/C, 137, C
47, Remainders Game, http://codeforces.com/contest/687/problem/B, 687, B
48, Guess Your Way Out!, http://codeforces.com/contest/507/problem/C, 507, C
49, Guest From the Past, http://codeforces.com/contest/625/problem/A, 625, A
50, Magical Boxes, http://codeforces.com/contest/269/problem/A, 269, A
51, Prime Permutation, http://codeforces.com/contest/123/problem/A, 123, A
52, Yaroslav and Sequence, http://codeforces.com/contest/301/problem/A, 301, A
53, Division into Teams, http://codeforces.com/contest/149/problem/C, 149, C
54, School Marks, http://codeforces.com/contest/540/problem/B, 540, B
55, Prime Swaps, http://codeforces.com/contest/432/problem/C, 432, C
56, Cutting Figure, http://codeforces.com/contest/193/problem/A, 193, A
57, Vasily the Bear and Sequence, http://codeforces.com/contest/336/problem/C, 336, C
58, Alyona and a tree, http://codeforces.com/contest/739/problem/B, 739, B
59, Ilya and Sticks, http://codeforces.com/contest/525/problem/C, 525, C
60, Heap Operations, http://codeforces.com/contest/681/problem/C, 681, C
61, Report, http://codeforces.com/contest/631/problem/C, 631, C
