SNo,QueName,QueLink,Contest,QueType 
1, Toy Army, http://codeforces.com/contest/84/problem/A, 84, A
2, Spit Problem, http://codeforces.com/contest/29/problem/A, 29, A
3, Reconnaissance, http://codeforces.com/contest/32/problem/A, 32, A
4, Circle Line, http://codeforces.com/contest/278/problem/A, 278, A
5, George and Accommodation, http://codeforces.com/contest/467/problem/A, 467, A
6, Memory and Crow, http://codeforces.com/contest/712/problem/A, 712, A
7, Wizards' Duel, http://codeforces.com/contest/591/problem/A, 591, A
8, Rewards, http://codeforces.com/contest/448/problem/A, 448, A
9, Crazy Computer, http://codeforces.com/contest/716/problem/A, 716, A
10, Multiplication Table, http://codeforces.com/contest/577/problem/A, 577, A
11, Beru-taxi, http://codeforces.com/contest/706/problem/A, 706, A
12, Joysticks, http://codeforces.com/contest/651/problem/A, 651, A
13, Case of the Zeros and Ones, http://codeforces.com/contest/556/problem/A, 556, A
14, Lovely Palindromes, http://codeforces.com/contest/688/problem/B, 688, B
15, A and B and Chess, http://codeforces.com/contest/519/problem/A, 519, A
16, Tavas and Nafas, http://codeforces.com/contest/535/problem/A, 535, A
17, Drazil and Date, http://codeforces.com/contest/515/problem/A, 515, A
18, Lecture, http://codeforces.com/contest/499/problem/B, 499, B
19, Digital Counter, http://codeforces.com/contest/495/problem/A, 495, A
20, Random Teams, http://codeforces.com/contest/478/problem/B, 478, B
21, Memory and Trident, http://codeforces.com/contest/712/problem/B, 712, B
22, Magic Spheres, http://codeforces.com/contest/606/problem/A, 606, A
23, Case of Fake Numbers, http://codeforces.com/contest/556/problem/B, 556, B
24, Fedor and New Game, http://codeforces.com/contest/467/problem/B, 467, B
25, Filya and Homework, http://codeforces.com/contest/714/problem/B, 714, B
26, Xor-tree, http://codeforces.com/contest/429/problem/A, 429, A
27, NP-Hard Problem, http://codeforces.com/contest/687/problem/A, 687, A
28, A and B and Compilation Errors, http://codeforces.com/contest/519/problem/B, 519, B
29, Tavas and SaDDas, http://codeforces.com/contest/535/problem/B, 535, B
30, Two Bases, http://codeforces.com/contest/602/problem/A, 602, A
31, Rebranding, http://codeforces.com/contest/591/problem/B, 591, B
32, Lucky Permutation Triple, http://codeforces.com/contest/303/problem/A, 303, A
33, Meeting of Old Friends, http://codeforces.com/contest/714/problem/A, 714, A
34, A and B and Team Training, http://codeforces.com/contest/519/problem/C, 519, C
35, Square, http://codeforces.com/contest/194/problem/B, 194, B
36, Sorting Railway Cars, http://codeforces.com/contest/605/problem/A, 605, A
37, Chat Online, http://codeforces.com/contest/469/problem/B, 469, B
38, Diverse Permutation, http://codeforces.com/contest/482/problem/A, 482, A
39, Alice and Bob, http://codeforces.com/contest/346/problem/A, 346, A
