SNo,QueName,QueLink,Contest,QueType 
1, Bus to Udayland, http://codeforces.com/contest/711/problem/A, 711, A
2, LLPS, http://codeforces.com/contest/202/problem/A, 202, A
3, Playing with Dice, http://codeforces.com/contest/378/problem/A, 378, A
4, Taymyr is calling you, http://codeforces.com/contest/764/problem/A, 764, A
5, Summer Camp, http://codeforces.com/contest/672/problem/A, 672, A
6, Soldier and Bananas, http://codeforces.com/contest/546/problem/A, 546, A
7, Wizards' Duel, http://codeforces.com/contest/591/problem/A, 591, A
8, Opponents, http://codeforces.com/contest/688/problem/A, 688, A
9, Free Ice Cream, http://codeforces.com/contest/686/problem/A, 686, A
10, Drazil and Date, http://codeforces.com/contest/515/problem/A, 515, A
11, Arpa’s hard exam and Mehrdad’s naive cheat, http://codeforces.com/contest/742/problem/A, 742, A
12, Multiplication Table, http://codeforces.com/contest/577/problem/A, 577, A
13, Kefa and First Steps, http://codeforces.com/contest/580/problem/A, 580, A
14, Lecture, http://codeforces.com/contest/499/problem/B, 499, B
15, Nicholas and Permutation, http://codeforces.com/contest/676/problem/A, 676, A
16, Pasha and Stick, http://codeforces.com/contest/610/problem/A, 610, A
17, Different is Good, http://codeforces.com/contest/672/problem/B, 672, B
18, Uncowed Forces, http://codeforces.com/contest/604/problem/A, 604, A
19, Case of the Zeros and Ones, http://codeforces.com/contest/556/problem/A, 556, A
20, Saitama Destroys Hotel, http://codeforces.com/contest/608/problem/A, 608, A
21, Tavas and Nafas, http://codeforces.com/contest/535/problem/A, 535, A
22, Bear and Five Cards, http://codeforces.com/contest/680/problem/A, 680, A
23, Bear and Finding Criminals, http://codeforces.com/contest/680/problem/B, 680, B
24, Calculating Function, http://codeforces.com/contest/486/problem/A, 486, A
25, Lovely Palindromes, http://codeforces.com/contest/688/problem/B, 688, B
26, Joysticks, http://codeforces.com/contest/651/problem/A, 651, A
27, Timofey and cubes, http://codeforces.com/contest/764/problem/B, 764, B
28, Complicated GCD, http://codeforces.com/contest/664/problem/A, 664, A
29, Two Bases, http://codeforces.com/contest/602/problem/A, 602, A
30, Rebranding, http://codeforces.com/contest/591/problem/B, 591, B
31, Semifinals, http://codeforces.com/contest/378/problem/B, 378, B
32, Median Smoothing, http://codeforces.com/contest/590/problem/A, 590, A
33, Digital Counter, http://codeforces.com/contest/495/problem/A, 495, A
34, Tavas and SaDDas, http://codeforces.com/contest/535/problem/B, 535, B
35, Little Robber Girl's Zoo, http://codeforces.com/contest/686/problem/B, 686, B
36, Alternative Thinking, http://codeforces.com/contest/603/problem/A, 603, A
37, Misha and Changing Handles, http://codeforces.com/contest/501/problem/B, 501, B
38, Valuable Resources, http://codeforces.com/contest/485/problem/B, 485, B
39, Beautiful Paintings, http://codeforces.com/contest/651/problem/B, 651, B
40, World Tour, http://codeforces.com/contest/666/problem/B, 666, B
41, Arpa’s obvious problem and Mehrdad’s terrible solution, http://codeforces.com/contest/742/problem/B, 742, B
42, Berzerk, http://codeforces.com/contest/786/problem/A, 786, A
43, Tennis Championship, http://codeforces.com/contest/735/problem/C, 735, C
44, Watering Flowers, http://codeforces.com/contest/617/problem/C, 617, C
45, Approximating a Constant Range, http://codeforces.com/contest/602/problem/B, 602, B
46, OR in Matrix, http://codeforces.com/contest/486/problem/B, 486, B
47, Game of Credit Cards, http://codeforces.com/contest/777/problem/B, 777, B
48, Day at the Beach, http://codeforces.com/contest/599/problem/C, 599, C
49, Report, http://codeforces.com/contest/631/problem/C, 631, C
50, Guest From the Past, http://codeforces.com/contest/625/problem/A, 625, A
51, Modular Equations, http://codeforces.com/contest/495/problem/B, 495, B
52, Tavas and Karafs, http://codeforces.com/contest/535/problem/C, 535, C
53, Hamming Distance Sum, http://codeforces.com/contest/608/problem/B, 608, B
54, Misha and Permutations Summation, http://codeforces.com/contest/501/problem/D, 501, D
55, Mike and Fun, http://codeforces.com/contest/548/problem/B, 548, B
56, Harmony Analysis, http://codeforces.com/contest/610/problem/C, 610, C
57, Vasya and Wrestling, http://codeforces.com/contest/493/problem/B, 493, B
58, Alyona and a tree, http://codeforces.com/contest/739/problem/B, 739, B
59, More Cowbell, http://codeforces.com/contest/604/problem/B, 604, B
60, Logo Turtle, http://codeforces.com/contest/132/problem/C, 132, C
61, Moodular Arithmetic, http://codeforces.com/contest/603/problem/B, 603, B
62, Taxes, http://codeforces.com/contest/735/problem/D, 735, D
63, Recycling Bottles, http://codeforces.com/contest/671/problem/A, 671, A
64, Gena's Code, http://codeforces.com/contest/614/problem/B, 614, B
65, Image Preview, http://codeforces.com/contest/650/problem/B, 650, B
66, Symmetric and Transitive, http://codeforces.com/contest/568/problem/B, 568, B
67, Lipshitz Sequence, http://codeforces.com/contest/601/problem/B, 601, B
68, Chip 'n Dale Rescue Rangers, http://codeforces.com/contest/590/problem/B, 590, B
69, Candy Boxes, http://codeforces.com/contest/488/problem/B, 488, B
70, Legacy, http://codeforces.com/contest/786/problem/B, 786, B
71, Bamboo Partition, http://codeforces.com/contest/830/problem/C, 830, C
72, Running Track, http://codeforces.com/contest/615/problem/C, 615, C
73, Kleofáš and the n-thlon, http://codeforces.com/contest/601/problem/C, 601, C
74, Mushroom Gnomes - 2, http://codeforces.com/contest/138/problem/C, 138, C
75, Hanoi Factory, http://codeforces.com/contest/777/problem/E, 777, E
76, Last Chance, http://codeforces.com/contest/137/problem/E, 137, E
77, Anton and Ira, http://codeforces.com/contest/584/problem/E, 584, E
78, Build String, http://codeforces.com/contest/237/problem/E, 237, E
79, Vladik and cards, http://codeforces.com/contest/743/problem/E, 743, E
80, Decoding Genome, http://codeforces.com/contest/222/problem/E, 222, E
81, Inna and Binary Logic, http://codeforces.com/contest/400/problem/E, 400, E
82, Happy Tree Party, http://codeforces.com/contest/593/problem/D, 593, D
83, Anton and Permutation, http://codeforces.com/contest/785/problem/E, 785, E
84, Little Elephant and LCM, http://codeforces.com/contest/258/problem/C, 258, C
85, Spongebob and Squares, http://codeforces.com/contest/599/problem/D, 599, D
86, Money Transfers, http://codeforces.com/contest/675/problem/C, 675, C
87, Strictly Positive Matrix, http://codeforces.com/contest/402/problem/E, 402, E
88, Minimization, http://codeforces.com/contest/571/problem/B, 571, B
89, Random Task, http://codeforces.com/contest/431/problem/D, 431, D
90, Let's Play Osu!, http://codeforces.com/contest/235/problem/B, 235, B
91, Palindromes, http://codeforces.com/contest/137/problem/D, 137, D
92, Messenger, http://codeforces.com/contest/631/problem/D, 631, D
93, Hongcow Buys a Deck of Cards, http://codeforces.com/contest/744/problem/C, 744, C
94, Love Triangles, http://codeforces.com/contest/553/problem/C, 553, C
95, Pluses everywhere, http://codeforces.com/contest/520/problem/E, 520, E
96, Paths and Trees, http://codeforces.com/contest/545/problem/E, 545, E
97, Lengthening Sticks, http://codeforces.com/contest/571/problem/A, 571, A
98, Sonya and Problem Wihtout a Legend, http://codeforces.com/contest/713/problem/C, 713, C
99, Till I Collapse, http://codeforces.com/contest/786/problem/C, 786, C
100, Cipher, http://codeforces.com/contest/156/problem/C, 156, C
101, Apple Tree, http://codeforces.com/contest/348/problem/B, 348, B
102, Flawed Flow, http://codeforces.com/contest/269/problem/C, 269, C
103, Complete The Graph, http://codeforces.com/contest/715/problem/B, 715, B
104, Superior Periodic Subarrays, http://codeforces.com/contest/582/problem/C, 582, C
105, Lieges of Legendre, http://codeforces.com/contest/603/problem/C, 603, C
106, Bear and Square Grid, http://codeforces.com/contest/679/problem/C, 679, C
107, Bear and Tower of Cubes, http://codeforces.com/contest/679/problem/B, 679, B
108, Invariance of Tree, http://codeforces.com/contest/576/problem/B, 576, B
109, Points on Plane, http://codeforces.com/contest/576/problem/C, 576, C
110, ZS and The Birthday Paradox, http://codeforces.com/contest/711/problem/E, 711, E
111, Bear in the Field, http://codeforces.com/contest/385/problem/E, 385, E
112, Famil Door and Roads, http://codeforces.com/contest/629/problem/E, 629, E
113, Break Up, http://codeforces.com/contest/700/problem/C, 700, C
114, Devu and Flowers, http://codeforces.com/contest/451/problem/E, 451, E
115, Alyona and towers, http://codeforces.com/contest/739/problem/C, 739, C
116, Find a car, http://codeforces.com/contest/809/problem/C, 809, C
117, Bear and Floodlight, http://codeforces.com/contest/385/problem/D, 385, D
118, Ostap and Tree, http://codeforces.com/contest/735/problem/E, 735, E
119, Strange Calculation and Cats, http://codeforces.com/contest/593/problem/E, 593, E
120, Change-free, http://codeforces.com/contest/767/problem/E, 767, E
121, Graph Cutting, http://codeforces.com/contest/405/problem/E, 405, E
122, Vanya and Balloons, http://codeforces.com/contest/677/problem/E, 677, E
123, Anya and Cubes, http://codeforces.com/contest/525/problem/E, 525, E
124, Game on Tree, http://codeforces.com/contest/280/problem/C, 280, C
125, Bear and Drawing, http://codeforces.com/contest/573/problem/C, 573, C
126, The Last Fight Between Human and AI, http://codeforces.com/contest/676/problem/E, 676, E
127, Trains and Statistic, http://codeforces.com/contest/675/problem/E, 675, E
128, Inversions After Shuffle, http://codeforces.com/contest/749/problem/E, 749, E
129, Marbles, http://codeforces.com/contest/607/problem/C, 607, C
130, Acyclic Organic Compounds, http://codeforces.com/contest/601/problem/D, 601, D
131, Peterson Polyglot, http://codeforces.com/contest/778/problem/C, 778, C
132, Power Tree, http://codeforces.com/contest/607/problem/D, 607, D
133, Codeword, http://codeforces.com/contest/666/problem/C, 666, C
134, Wilbur and Strings, http://codeforces.com/contest/596/problem/E, 596, E
135, Iahub and Xors, http://codeforces.com/contest/341/problem/D, 341, D
136, Sandy and Nuts, http://codeforces.com/contest/599/problem/E, 599, E
137, Dima and Figure, http://codeforces.com/contest/273/problem/D, 273, D
138, Maximum Waterfall, http://codeforces.com/contest/269/problem/D, 269, D
139, String, http://codeforces.com/contest/123/problem/D, 123, D
140, Animals and Puzzle, http://codeforces.com/contest/713/problem/D, 713, D
141, Splitting the Uniqueness, http://codeforces.com/contest/297/problem/C, 297, C
142, Levko and Strings, http://codeforces.com/contest/360/problem/C, 360, C
143, Max and Bike, http://codeforces.com/contest/594/problem/B, 594, B
144, Yaroslav and Points, http://codeforces.com/contest/295/problem/E, 295, E
145, Anniversary, http://codeforces.com/contest/226/problem/C, 226, C
146, Ultimate Weirdness of an Array, http://codeforces.com/contest/671/problem/C, 671, C
147, Sereja and Sets, http://codeforces.com/contest/425/problem/E, 425, E
148, Permutations, http://codeforces.com/contest/736/problem/D, 736, D
149, Curious Array, http://codeforces.com/contest/407/problem/C, 407, C
150, Little Elephant and Tree, http://codeforces.com/contest/258/problem/E, 258, E
151, Parquet Re-laying, http://codeforces.com/contest/778/problem/D, 778, D
152, Timofey and remoduling, http://codeforces.com/contest/763/problem/C, 763, C
153, Misha and Palindrome Degree, http://codeforces.com/contest/501/problem/E, 501, E
154, Kefa and Watch, http://codeforces.com/contest/580/problem/E, 580, E
155, Arpa’s overnight party and Mehrdad’s silent entering, http://codeforces.com/contest/741/problem/C, 741, C
