SNo,QueName,QueLink,Contest,QueType 
1, Colorful Stones (Simplified Edition), http://codeforces.com/contest/265/problem/A, 265, A
2, Rewards, http://codeforces.com/contest/448/problem/A, 448, A
3, Roma and Lucky Numbers, http://codeforces.com/contest/262/problem/A, 262, A
4, Soroban, http://codeforces.com/contest/363/problem/A, 363, A
5, Toy Army, http://codeforces.com/contest/84/problem/A, 84, A
6, Greg's Workout, http://codeforces.com/contest/255/problem/A, 255, A
7, George and Accommodation, http://codeforces.com/contest/467/problem/A, 467, A
8, Case of the Zeros and Ones, http://codeforces.com/contest/556/problem/A, 556, A
9, Table, http://codeforces.com/contest/359/problem/A, 359, A
10, Cows and Poker Game, http://codeforces.com/contest/284/problem/B, 284, B
11, Drazil and Date, http://codeforces.com/contest/515/problem/A, 515, A
12, Exams, http://codeforces.com/contest/194/problem/A, 194, A
13, Sinking Ship, http://codeforces.com/contest/63/problem/A, 63, A
14, Sereja and Coat Rack, http://codeforces.com/contest/368/problem/A, 368, A
15, Worms Evolution, http://codeforces.com/contest/31/problem/A, 31, A
16, Lecture, http://codeforces.com/contest/499/problem/B, 499, B
17, Valera and Antique Items, http://codeforces.com/contest/441/problem/A, 441, A
18, Game With Sticks, http://codeforces.com/contest/451/problem/A, 451, A
19, Squares, http://codeforces.com/contest/263/problem/B, 263, B
20, Trace, http://codeforces.com/contest/157/problem/B, 157, B
21, Little Frog, http://codeforces.com/contest/53/problem/C, 53, C
22, Valera and Plates, http://codeforces.com/contest/369/problem/A, 369, A
23, Calculating Function, http://codeforces.com/contest/486/problem/A, 486, A
24, Sereja and Algorithm , http://codeforces.com/contest/367/problem/A, 367, A
25, Chat Online, http://codeforces.com/contest/469/problem/B, 469, B
26, Domino Effect, http://codeforces.com/contest/405/problem/B, 405, B
27, Good Number, http://codeforces.com/contest/365/problem/A, 365, A
28, Lucky Permutation, http://codeforces.com/contest/286/problem/A, 286, A
29, Fox and Number Game, http://codeforces.com/contest/389/problem/A, 389, A
30, Magical Array, http://codeforces.com/contest/83/problem/A, 83, A
31, Replacement, http://codeforces.com/contest/135/problem/A, 135, A
32, Drazil and Factorial, http://codeforces.com/contest/515/problem/C, 515, C
33, Bear and Strings, http://codeforces.com/contest/385/problem/B, 385, B
34, The Child and Homework, http://codeforces.com/contest/437/problem/A, 437, A
35, Dorm Water Supply, http://codeforces.com/contest/107/problem/A, 107, A
36, Misha and Changing Handles, http://codeforces.com/contest/501/problem/B, 501, B
37, Maxim and Discounts, http://codeforces.com/contest/261/problem/A, 261, A
38, Permutation, http://codeforces.com/contest/359/problem/B, 359, B
39, Tavas and SaDDas, http://codeforces.com/contest/535/problem/B, 535, B
40, Levko and Permutation, http://codeforces.com/contest/361/problem/B, 361, B
41, Testing Pants for Sadness, http://codeforces.com/contest/103/problem/A, 103, A
42, Multithreading, http://codeforces.com/contest/270/problem/B, 270, B
43, The Wall, http://codeforces.com/contest/340/problem/A, 340, A
44, Milking cows, http://codeforces.com/contest/383/problem/A, 383, A
45, MUH and Sticks, http://codeforces.com/contest/471/problem/A, 471, A
46, Anton and currency you all know, http://codeforces.com/contest/508/problem/B, 508, B
47, Email address, http://codeforces.com/contest/41/problem/C, 41, C
48, Little Xor, http://codeforces.com/contest/252/problem/A, 252, A
49, Strings of Power, http://codeforces.com/contest/318/problem/B, 318, B
50, Rook| Bishop and King, http://codeforces.com/contest/370/problem/A, 370, A
51, Valuable Resources, http://codeforces.com/contest/485/problem/B, 485, B
52, Art Union, http://codeforces.com/contest/416/problem/B, 416, B
53, Ohana Cleans Up, http://codeforces.com/contest/554/problem/B, 554, B
54, A and B and Compilation Errors, http://codeforces.com/contest/519/problem/B, 519, B
55, Plant, http://codeforces.com/contest/185/problem/A, 185, A
56, A and B and Team Training, http://codeforces.com/contest/519/problem/C, 519, C
57, Fedor and New Game, http://codeforces.com/contest/467/problem/B, 467, B
58, Xor-tree, http://codeforces.com/contest/429/problem/A, 429, A
59, Prizes| Prizes| more Prizes, http://codeforces.com/contest/208/problem/D, 208, D
60, Forming Teams, http://codeforces.com/contest/216/problem/B, 216, B
61, Sysadmin Bob, http://codeforces.com/contest/31/problem/B, 31, B
62, Perfect Pair, http://codeforces.com/contest/317/problem/A, 317, A
63, The Two Routes, http://codeforces.com/contest/601/problem/A, 601, A
64, Eight Point Sets, http://codeforces.com/contest/334/problem/B, 334, B
65, Cloud of Hashtags, http://codeforces.com/contest/777/problem/D, 777, D
66, Martian Dollar, http://codeforces.com/contest/41/problem/B, 41, B
67, Guess Your Way Out!, http://codeforces.com/contest/507/problem/C, 507, C
68, Alice and Bob, http://codeforces.com/contest/346/problem/A, 346, A
69, STL, http://codeforces.com/contest/190/problem/C, 190, C
70, Magical Boxes, http://codeforces.com/contest/269/problem/A, 269, A
71, Replacement, http://codeforces.com/contest/570/problem/C, 570, C
72, Tavas and Karafs, http://codeforces.com/contest/535/problem/C, 535, C
73, Mike and Fun, http://codeforces.com/contest/548/problem/B, 548, B
74, Marina and Vasya, http://codeforces.com/contest/584/problem/C, 584, C
75, Fish Weight, http://codeforces.com/contest/297/problem/B, 297, B
76, Dreamoon and Sets, http://codeforces.com/contest/476/problem/D, 476, D
77, Alternating Current, http://codeforces.com/contest/343/problem/B, 343, B
78, Olympiad, http://codeforces.com/contest/222/problem/D, 222, D
79, Xenia and Spies, http://codeforces.com/contest/342/problem/B, 342, B
80, Chilly Willy, http://codeforces.com/contest/248/problem/B, 248, B
81, Planets, http://codeforces.com/contest/229/problem/B, 229, B
82, Queue, http://codeforces.com/contest/545/problem/D, 545, D
83, Longtail Hedgehog, http://codeforces.com/contest/615/problem/B, 615, B
84, Message, http://codeforces.com/contest/156/problem/A, 156, A
85, Voting, http://codeforces.com/contest/749/problem/C, 749, C
86, Polo the Penguin and Houses , http://codeforces.com/contest/288/problem/B, 288, B
87, Pasha and String, http://codeforces.com/contest/525/problem/B, 525, B
88, Toy Sum, http://codeforces.com/contest/405/problem/D, 405, D
89, Tree Construction, http://codeforces.com/contest/675/problem/D, 675, D
90, Report, http://codeforces.com/contest/631/problem/C, 631, C
91, Bear and Blocks, http://codeforces.com/contest/573/problem/B, 573, B
92, Dima and Two Sequences, http://codeforces.com/contest/272/problem/D, 272, D
93, Trees in a Row, http://codeforces.com/contest/402/problem/B, 402, B
94, Terse princess, http://codeforces.com/contest/148/problem/C, 148, C
95, Chloe and pleasant prizes, http://codeforces.com/contest/743/problem/D, 743, D
96, GCD Table, http://codeforces.com/contest/582/problem/A, 582, A
97, Prime Swaps, http://codeforces.com/contest/432/problem/C, 432, C
98, Soldier and Cards, http://codeforces.com/contest/546/problem/C, 546, C
99, DNA Alignment, http://codeforces.com/contest/520/problem/C, 520, C
100, Sereja and Swaps, http://codeforces.com/contest/425/problem/A, 425, A
101, The Big Race, http://codeforces.com/contest/592/problem/C, 592, C
102, Image Preview, http://codeforces.com/contest/650/problem/B, 650, B
103, Find Pair, http://codeforces.com/contest/160/problem/C, 160, C
104, Mike and Chocolate Thieves, http://codeforces.com/contest/689/problem/C, 689, C
105, Petya and Inequiations, http://codeforces.com/contest/111/problem/A, 111, A
106, Non-Secret Cypher, http://codeforces.com/contest/190/problem/D, 190, D
107, Division into Teams, http://codeforces.com/contest/149/problem/C, 149, C
108, Predict Outcome of the Game, http://codeforces.com/contest/451/problem/C, 451, C
109, The Child and Zoo, http://codeforces.com/contest/437/problem/D, 437, D
110, Nearest Fraction, http://codeforces.com/contest/281/problem/B, 281, B
111, Purification, http://codeforces.com/contest/329/problem/A, 329, A
112, Dynasty Puzzles, http://codeforces.com/contest/191/problem/A, 191, A
113, Secret Combination, http://codeforces.com/contest/496/problem/B, 496, B
114, Divisible by Seven, http://codeforces.com/contest/375/problem/A, 375, A
115, Burning Midnight Oil, http://codeforces.com/contest/165/problem/B, 165, B
116, School Marks, http://codeforces.com/contest/540/problem/B, 540, B
117, Road Map, http://codeforces.com/contest/34/problem/D, 34, D
118, Harmony Analysis, http://codeforces.com/contest/610/problem/C, 610, C
119, Magic Formulas, http://codeforces.com/contest/424/problem/C, 424, C
120, Pasha and Tea, http://codeforces.com/contest/557/problem/B, 557, B
121, 24 Game, http://codeforces.com/contest/468/problem/A, 468, A
122, Basketball Team, http://codeforces.com/contest/107/problem/B, 107, B
123, Heap Operations, http://codeforces.com/contest/681/problem/C, 681, C
124, Rational Resistance, http://codeforces.com/contest/343/problem/A, 343, A
125, Strange Addition, http://codeforces.com/contest/305/problem/A, 305, A
126, Ivan and Powers of Two, http://codeforces.com/contest/305/problem/C, 305, C
127, Beauty Pageant, http://codeforces.com/contest/246/problem/C, 246, C
128, Modular Equations, http://codeforces.com/contest/495/problem/B, 495, B
129, Quantity of Strings, http://codeforces.com/contest/150/problem/B, 150, B
130, Gerald's Hexagon, http://codeforces.com/contest/559/problem/A, 559, A
131, ZgukistringZ, http://codeforces.com/contest/551/problem/B, 551, B
132, Non-square Equation, http://codeforces.com/contest/233/problem/B, 233, B
133, Find Maximum, http://codeforces.com/contest/353/problem/C, 353, C
134, Alyona and the Tree, http://codeforces.com/contest/682/problem/C, 682, C
135, Newspaper Headline, http://codeforces.com/contest/91/problem/A, 91, A
136, MUH and House of Cards, http://codeforces.com/contest/471/problem/C, 471, C
137, Vasya and String, http://codeforces.com/contest/676/problem/C, 676, C
138, Amr and Pins, http://codeforces.com/contest/507/problem/B, 507, B
139, Buns, http://codeforces.com/contest/106/problem/C, 106, C
140, Magic Five, http://codeforces.com/contest/327/problem/C, 327, C
141, Cows and Primitive Roots, http://codeforces.com/contest/284/problem/A, 284, A
142, Vasily the Bear and Sequence, http://codeforces.com/contest/336/problem/C, 336, C
143, Preparing Olympiad, http://codeforces.com/contest/550/problem/B, 550, B
144, Bear and Three Musketeers, http://codeforces.com/contest/574/problem/B, 574, B
145, Undoubtedly Lucky Numbers, http://codeforces.com/contest/244/problem/B, 244, B
146, Dreamoon and Sums, http://codeforces.com/contest/476/problem/C, 476, C
147, Cthulhu, http://codeforces.com/contest/103/problem/B, 103, B
148, Win or Freeze, http://codeforces.com/contest/150/problem/A, 150, A
149, Quiz, http://codeforces.com/contest/337/problem/C, 337, C
150, Anagram Search, http://codeforces.com/contest/144/problem/C, 144, C
151, Two Substrings, http://codeforces.com/contest/550/problem/A, 550, A
152, Subsegments, http://codeforces.com/contest/69/problem/E, 69, E
153, History, http://codeforces.com/contest/137/problem/C, 137, C
154, Primes on Interval, http://codeforces.com/contest/237/problem/C, 237, C
155, The Child and Set, http://codeforces.com/contest/437/problem/B, 437, B
156, OR in Matrix, http://codeforces.com/contest/486/problem/B, 486, B
157, DZY Loves Chemistry, http://codeforces.com/contest/445/problem/B, 445, B
158, Vasiliy's Multiset, http://codeforces.com/contest/706/problem/D, 706, D
159, Bits, http://codeforces.com/contest/484/problem/A, 484, A
160, Ilya and Sticks, http://codeforces.com/contest/525/problem/C, 525, C
161, Dima and Lisa, http://codeforces.com/contest/584/problem/D, 584, D
162, Kefa and Park, http://codeforces.com/contest/580/problem/C, 580, C
163, Queue, http://codeforces.com/contest/91/problem/B, 91, B
164, Woodcutters, http://codeforces.com/contest/545/problem/C, 545, C
165, Biridian Forest, http://codeforces.com/contest/329/problem/B, 329, B
166, k-Multiple Free Set, http://codeforces.com/contest/274/problem/A, 274, A
167, Magic Box, http://codeforces.com/contest/231/problem/D, 231, D
168, Alyona and Strings, http://codeforces.com/contest/682/problem/D, 682, D
169, Dispute, http://codeforces.com/contest/242/problem/D, 242, D
170, Volleyball, http://codeforces.com/contest/95/problem/C, 95, C
171, Decoding Genome, http://codeforces.com/contest/222/problem/E, 222, E
172, Running Track, http://codeforces.com/contest/615/problem/C, 615, C
173, Police Station, http://codeforces.com/contest/208/problem/C, 208, C
174, Money Transfers, http://codeforces.com/contest/675/problem/C, 675, C
175, Mishka and Interesting sum, http://codeforces.com/contest/703/problem/D, 703, D
176, Queue, http://codeforces.com/contest/353/problem/D, 353, D
177, Directed Roads, http://codeforces.com/contest/711/problem/D, 711, D
178, Spongebob and Squares, http://codeforces.com/contest/599/problem/D, 599, D
179, Black and White Tree, http://codeforces.com/contest/260/problem/D, 260, D
180, Ilya and Roads, http://codeforces.com/contest/313/problem/D, 313, D
181, Babaei and Birthday Cake, http://codeforces.com/contest/629/problem/D, 629, D
182, Block Tower, http://codeforces.com/contest/327/problem/D, 327, D
183, Police Patrol, http://codeforces.com/contest/427/problem/E, 427, E
184, Persistent Bookcase , http://codeforces.com/contest/707/problem/D, 707, D
185, Random Task, http://codeforces.com/contest/431/problem/D, 431, D
186, Number With The Given Amount Of Divisors, http://codeforces.com/contest/27/problem/E, 27, E
187, Cycle in Graph, http://codeforces.com/contest/263/problem/D, 263, D
188, Circle of Numbers, http://codeforces.com/contest/263/problem/C, 263, C
189, Fox And Jumping, http://codeforces.com/contest/510/problem/D, 510, D
190, Vanya and Triangles, http://codeforces.com/contest/552/problem/D, 552, D
191, Shaass and Lights, http://codeforces.com/contest/294/problem/C, 294, C
192, Vitaly and Cycle, http://codeforces.com/contest/557/problem/D, 557, D
193, Minesweeper 1D, http://codeforces.com/contest/404/problem/D, 404, D
