SNo,QueName,QueLink,Contest,QueType 
1, Boy or Girl, http://codeforces.com/contest/236/problem/A, 236, A
2, Beautiful Matrix, http://codeforces.com/contest/263/problem/A, 263, A
3, Team, http://codeforces.com/contest/231/problem/A, 231, A
4, Petya and Strings, http://codeforces.com/contest/112/problem/A, 112, A
5, Magnets, http://codeforces.com/contest/344/problem/A, 344, A
6, Young Physicist, http://codeforces.com/contest/69/problem/A, 69, A
7, Word Capitalization, http://codeforces.com/contest/281/problem/A, 281, A
8, Bit++, http://codeforces.com/contest/282/problem/A, 282, A
9, Way Too Long Words, http://codeforces.com/contest/71/problem/A, 71, A
10, Even Odds, http://codeforces.com/contest/318/problem/A, 318, A
11, Dubstep, http://codeforces.com/contest/208/problem/A, 208, A
12, Xenia and Ringroad, http://codeforces.com/contest/339/problem/B, 339, B
13, Football, http://codeforces.com/contest/96/problem/A, 96, A
14, System of Equations, http://codeforces.com/contest/214/problem/A, 214, A
15, Lucky Division, http://codeforces.com/contest/122/problem/A, 122, A
16, Dragons, http://codeforces.com/contest/230/problem/A, 230, A
17, Puzzles, http://codeforces.com/contest/337/problem/A, 337, A
18, Chat room, http://codeforces.com/contest/58/problem/A, 58, A
19, Dreamoon and WiFi, http://codeforces.com/contest/476/problem/B, 476, B
20, Ice Skating, http://codeforces.com/contest/217/problem/A, 217, A
21, Learning Languages, http://codeforces.com/contest/277/problem/A, 277, A
22, T-primes, http://codeforces.com/contest/230/problem/B, 230, B
23, Fence, http://codeforces.com/contest/363/problem/B, 363, B
24, Party, http://codeforces.com/contest/115/problem/A, 115, A
25, Building Permutation, http://codeforces.com/contest/285/problem/C, 285, C
26, Greg and Array, http://codeforces.com/contest/295/problem/A, 295, A
27, Cut Ribbon, http://codeforces.com/contest/189/problem/A, 189, A
28, Maximum Absurdity, http://codeforces.com/contest/332/problem/B, 332, B
29, Vasya and Chess, http://codeforces.com/contest/493/problem/D, 493, D
30, Bubble Sort Graph, http://codeforces.com/contest/340/problem/D, 340, D
31, Modified GCD, http://codeforces.com/contest/75/problem/C, 75, C
32, Palindrome Transformation, http://codeforces.com/contest/486/problem/C, 486, C
33, Mafia, http://codeforces.com/contest/348/problem/A, 348, A
34, To Add or Not to Add, http://codeforces.com/contest/231/problem/C, 231, C
35, Almost Arithmetical Progression, http://codeforces.com/contest/255/problem/C, 255, C
36, DZY Loves Sequences, http://codeforces.com/contest/446/problem/A, 446, A
37, Ilya and Matrix, http://codeforces.com/contest/313/problem/C, 313, C
38, Physics Practical, http://codeforces.com/contest/253/problem/B, 253, B
39, Common Divisors, http://codeforces.com/contest/182/problem/D, 182, D
40, Valera and Elections, http://codeforces.com/contest/369/problem/C, 369, C
41, XOR and OR, http://codeforces.com/contest/282/problem/C, 282, C
42, Color the Fence, http://codeforces.com/contest/349/problem/B, 349, B
43, Colorful Graph, http://codeforces.com/contest/246/problem/D, 246, D
44, Boredom, http://codeforces.com/contest/455/problem/A, 455, A
45, Hometask, http://codeforces.com/contest/214/problem/B, 214, B
46, k-Tree, http://codeforces.com/contest/431/problem/C, 431, C
47, Bombs, http://codeforces.com/contest/350/problem/C, 350, C
48, Beautiful Numbers, http://codeforces.com/contest/300/problem/C, 300, C
49, Shaass and Bookshelf, http://codeforces.com/contest/294/problem/B, 294, B
50, Password, http://codeforces.com/contest/126/problem/B, 126, B
51, Fixing Typos, http://codeforces.com/contest/363/problem/C, 363, C
52, Zero Tree, http://codeforces.com/contest/274/problem/B, 274, B
53, Pipeline, http://codeforces.com/contest/287/problem/B, 287, B
54, Greenhouse Effect, http://codeforces.com/contest/269/problem/B, 269, B
55, Hamburgers, http://codeforces.com/contest/371/problem/C, 371, C
56, Little Girl and Maximum XOR, http://codeforces.com/contest/276/problem/D, 276, D
57, Dima and Hares, http://codeforces.com/contest/358/problem/D, 358, D
58, Another Problem on Strings, http://codeforces.com/contest/165/problem/C, 165, C
59, Cows and Sequence, http://codeforces.com/contest/283/problem/A, 283, A
60, Little Girl and Maximum Sum, http://codeforces.com/contest/276/problem/C, 276, C
61, Booking System, http://codeforces.com/contest/416/problem/C, 416, C
62, Barcode, http://codeforces.com/contest/225/problem/C, 225, C
63, Arithmetic Progression, http://codeforces.com/contest/382/problem/C, 382, C
64, Ladder, http://codeforces.com/contest/279/problem/C, 279, C
65, Caesar's Legions, http://codeforces.com/contest/118/problem/D, 118, D
66, Xenia and Bit Operations, http://codeforces.com/contest/339/problem/D, 339, D
67, Tetrahedron, http://codeforces.com/contest/166/problem/E, 166, E
68, George and Job, http://codeforces.com/contest/467/problem/C, 467, C
69, Good Sequences, http://codeforces.com/contest/264/problem/B, 264, B
70, Xenia and Weights, http://codeforces.com/contest/339/problem/C, 339, C
71, Greg and Graph, http://codeforces.com/contest/295/problem/B, 295, B
72, Number of Ways, http://codeforces.com/contest/466/problem/C, 466, C
73, Pair of Numbers, http://codeforces.com/contest/359/problem/D, 359, D
74, Wonder Room, http://codeforces.com/contest/466/problem/B, 466, B
75, Pashmak and Parmida's problem, http://codeforces.com/contest/459/problem/D, 459, D
76, Ice Cave, http://codeforces.com/contest/540/problem/C, 540, C
77, Devu and his Brother, http://codeforces.com/contest/439/problem/D, 439, D
78, Dima and Bacteria, http://codeforces.com/contest/400/problem/D, 400, D
79, Watto and Mechanism, http://codeforces.com/contest/514/problem/C, 514, C
80, Restore Graph, http://codeforces.com/contest/404/problem/C, 404, C
81, Riding in a Lift, http://codeforces.com/contest/479/problem/E, 479, E
82, Count Good Substrings, http://codeforces.com/contest/451/problem/D, 451, D
83, Roman and Numbers, http://codeforces.com/contest/401/problem/D, 401, D
84, Choosing Capital for Treeland, http://codeforces.com/contest/219/problem/D, 219, D
85, Devu and Partitioning of the Array, http://codeforces.com/contest/439/problem/C, 439, C
86, Valid Sets, http://codeforces.com/contest/486/problem/D, 486, D
87, MUH and Cube Walls, http://codeforces.com/contest/471/problem/D, 471, D
88, Painting Fence, http://codeforces.com/contest/448/problem/C, 448, C
89, XOR on Segment, http://codeforces.com/contest/242/problem/E, 242, E
90, Vessels, http://codeforces.com/contest/371/problem/D, 371, D
91, Bad Luck Island, http://codeforces.com/contest/540/problem/D, 540, D
92, Multiplication Table, http://codeforces.com/contest/448/problem/D, 448, D
93, Red-Green Towers, http://codeforces.com/contest/478/problem/D, 478, D
94, Pashmak and Buses, http://codeforces.com/contest/459/problem/C, 459, C
95, Bag of mice, http://codeforces.com/contest/148/problem/D, 148, D
96, Gargari and Bishops, http://codeforces.com/contest/463/problem/C, 463, C
97, Gargari and Permutations, http://codeforces.com/contest/463/problem/D, 463, D
98, R2D2 and Droid Army, http://codeforces.com/contest/514/problem/D, 514, D
99, Bear and Prime Numbers, http://codeforces.com/contest/385/problem/C, 385, C
100, Good Substrings, http://codeforces.com/contest/271/problem/D, 271, D
