SNo,QueName,QueLink,Contest,QueType 
1, Tricky Function, http://codeforces.com/contest/429/problem/D, 429, D
2, Characteristics of Rectangles, http://codeforces.com/contest/333/problem/D, 333, D
3, Antimatter, http://codeforces.com/contest/383/problem/D, 383, D
4, The Child and Sequence, http://codeforces.com/contest/438/problem/D, 438, D
5, Kindergarten, http://codeforces.com/contest/484/problem/D, 484, D
6, Water Tree, http://codeforces.com/contest/343/problem/D, 343, D
7, Towers, http://codeforces.com/contest/229/problem/D, 229, D
8, Numbers, http://codeforces.com/contest/128/problem/D, 128, D
9, Sereja and Squares, http://codeforces.com/contest/425/problem/D, 425, D
10, Hill Climbing, http://codeforces.com/contest/406/problem/D, 406, D
11, Yaroslav and Divisors, http://codeforces.com/contest/301/problem/D, 301, D
12, Jzzhu and Numbers, http://codeforces.com/contest/449/problem/D, 449, D
13, Game with Powers, http://codeforces.com/contest/317/problem/D, 317, D
14, The table, http://codeforces.com/contest/226/problem/D, 226, D
15, Time to Raid Cowavans, http://codeforces.com/contest/103/problem/D, 103, D
16, Beautiful Pairs of Numbers, http://codeforces.com/contest/403/problem/D, 403, D
17, Lovely Matrix, http://codeforces.com/contest/274/problem/D, 274, D
18, Constants in the language of Shakespeare, http://codeforces.com/contest/132/problem/D, 132, D
19, Polo the Penguin and Trees , http://codeforces.com/contest/288/problem/D, 288, D
20, Tree and Queries, http://codeforces.com/contest/375/problem/D, 375, D
21, Traffic Jams in the Land, http://codeforces.com/contest/498/problem/D, 498, D
22, Mashmokh and Water Tanks, http://codeforces.com/contest/414/problem/D, 414, D
23, Iahub and Xors, http://codeforces.com/contest/341/problem/D, 341, D
24, Fibonacci Sums, http://codeforces.com/contest/126/problem/D, 126, D
25, Numbers, http://codeforces.com/contest/83/problem/D, 83, D
26, Developing Game, http://codeforces.com/contest/377/problem/D, 377, D
27, Little Elephant and Broken Sorting, http://codeforces.com/contest/258/problem/D, 258, D
28, Clues, http://codeforces.com/contest/156/problem/D, 156, D
29, Sereja and Sets, http://codeforces.com/contest/367/problem/D, 367, D
30, Interval Cubing, http://codeforces.com/contest/311/problem/D, 311, D
31, Cows and Cool Sequences, http://codeforces.com/contest/283/problem/D, 283, D
32, Sereja and Straight Lines, http://codeforces.com/contest/314/problem/D, 314, D
