SNo,QueName,QueLink,Contest,QueType 
1, Circle Line, http://codeforces.com/contest/278/problem/A, 278, A
2, Restoring Password, http://codeforces.com/contest/94/problem/A, 94, A
3, Playing with Dice, http://codeforces.com/contest/378/problem/A, 378, A
4, Colorful Stones (Simplified Edition), http://codeforces.com/contest/265/problem/A, 265, A
5, Roma and Lucky Numbers, http://codeforces.com/contest/262/problem/A, 262, A
6, Kyoya and Photobooks, http://codeforces.com/contest/554/problem/A, 554, A
7, Valera and X, http://codeforces.com/contest/404/problem/A, 404, A
8, Game With Sticks, http://codeforces.com/contest/451/problem/A, 451, A
9, Vasya and Digital Root, http://codeforces.com/contest/355/problem/A, 355, A
10, Multiplication Table, http://codeforces.com/contest/577/problem/A, 577, A
11, Calculating Function, http://codeforces.com/contest/486/problem/A, 486, A
12, Valera and Antique Items, http://codeforces.com/contest/441/problem/A, 441, A
13, Kefa and First Steps, http://codeforces.com/contest/580/problem/A, 580, A
14, Toy Cars, http://codeforces.com/contest/545/problem/A, 545, A
15, Joysticks, http://codeforces.com/contest/651/problem/A, 651, A
16, Little Frog, http://codeforces.com/contest/53/problem/C, 53, C
17, Sinking Ship, http://codeforces.com/contest/63/problem/A, 63, A
18, Case of the Zeros and Ones, http://codeforces.com/contest/556/problem/A, 556, A
19, Roadside Trees (Simplified Edition), http://codeforces.com/contest/265/problem/B, 265, B
20, Ciel and Dancing, http://codeforces.com/contest/322/problem/A, 322, A
21, Currency System in Geraldion, http://codeforces.com/contest/560/problem/A, 560, A
22, Prizes| Prizes| more Prizes, http://codeforces.com/contest/208/problem/D, 208, D
23, Bear and Poker, http://codeforces.com/contest/573/problem/A, 573, A
24, Fox and Number Game, http://codeforces.com/contest/389/problem/A, 389, A
25, A and B and Team Training, http://codeforces.com/contest/519/problem/C, 519, C
26, Misha and Changing Handles, http://codeforces.com/contest/501/problem/B, 501, B
27, Cifera, http://codeforces.com/contest/114/problem/A, 114, A
28, Lucky Tickets, http://codeforces.com/contest/43/problem/C, 43, C
29, Bar, http://codeforces.com/contest/56/problem/A, 56, A
30, Bear and Elections, http://codeforces.com/contest/574/problem/A, 574, A
31, Lexicographically Maximum Subsequence, http://codeforces.com/contest/196/problem/A, 196, A
