SNo,QueName,QueLink,Contest,QueType 
1, Queue at the School, http://codeforces.com/contest/266/problem/B, 266, B
2, Xenia and Ringroad, http://codeforces.com/contest/339/problem/B, 339, B
3, Fedor and New Game, http://codeforces.com/contest/467/problem/B, 467, B
4, Random Teams, http://codeforces.com/contest/478/problem/B, 478, B
5, Vanya and Lanterns, http://codeforces.com/contest/492/problem/B, 492, B
6, Sort the Array, http://codeforces.com/contest/451/problem/B, 451, B
7, Lecture, http://codeforces.com/contest/499/problem/B, 499, B
8, T-primes, http://codeforces.com/contest/230/problem/B, 230, B
9, Anton and currency you all know, http://codeforces.com/contest/508/problem/B, 508, B
10, DZY Loves Strings, http://codeforces.com/contest/447/problem/B, 447, B
11, Amr and Pins, http://codeforces.com/contest/507/problem/B, 507, B
12, Little Pony and Sort by Shift, http://codeforces.com/contest/454/problem/B, 454, B
13, Jzzhu and Sequences, http://codeforces.com/contest/450/problem/B, 450, B
14, Roadside Trees (Simplified Edition), http://codeforces.com/contest/265/problem/B, 265, B
15, Find Marble, http://codeforces.com/contest/285/problem/B, 285, B
16, Suffix Structures, http://codeforces.com/contest/448/problem/B, 448, B
17, Little Elephant and Magic Square, http://codeforces.com/contest/259/problem/B, 259, B
18, OR in Matrix, http://codeforces.com/contest/486/problem/B, 486, B
19, Football Kit, http://codeforces.com/contest/432/problem/B, 432, B
20, Little Girl and Game, http://codeforces.com/contest/276/problem/B, 276, B
21, Petya and Staircases, http://codeforces.com/contest/362/problem/B, 362, B
22, Books, http://codeforces.com/contest/279/problem/B, 279, B
23, Chat Online, http://codeforces.com/contest/469/problem/B, 469, B
24, Painting Pebbles, http://codeforces.com/contest/509/problem/B, 509, B
25, Vasya and Wrestling, http://codeforces.com/contest/493/problem/B, 493, B
26, George and Round, http://codeforces.com/contest/387/problem/B, 387, B
27, The Fibonacci Segment, http://codeforces.com/contest/365/problem/B, 365, B
28, Trace, http://codeforces.com/contest/157/problem/B, 157, B
29, Sale, http://codeforces.com/contest/34/problem/B, 34, B
