SNo,QueName,QueLink,Contest,QueType 
1, George and Accommodation, http://codeforces.com/contest/467/problem/A, 467, A
2, Opponents, http://codeforces.com/contest/688/problem/A, 688, A
3, Patrick and Shopping, http://codeforces.com/contest/599/problem/A, 599, A
4, Mashmokh and Lights, http://codeforces.com/contest/415/problem/A, 415, A
5, Squats, http://codeforces.com/contest/424/problem/A, 424, A
6, Sereja and Mugs, http://codeforces.com/contest/426/problem/A, 426, A
7, Summer Camp, http://codeforces.com/contest/672/problem/A, 672, A
8, Case of the Zeros and Ones, http://codeforces.com/contest/556/problem/A, 556, A
9, Lucky String, http://codeforces.com/contest/110/problem/B, 110, B
10, Queue on Bus Stop, http://codeforces.com/contest/435/problem/A, 435, A
11, Currency System in Geraldion, http://codeforces.com/contest/560/problem/A, 560, A
12, Saitama Destroys Hotel, http://codeforces.com/contest/608/problem/A, 608, A
13, Lecture, http://codeforces.com/contest/499/problem/B, 499, B
14, Uncowed Forces, http://codeforces.com/contest/604/problem/A, 604, A
15, Drazil and Date, http://codeforces.com/contest/515/problem/A, 515, A
16, Different is Good, http://codeforces.com/contest/672/problem/B, 672, B
17, Case of Fake Numbers, http://codeforces.com/contest/556/problem/B, 556, B
18, Plant, http://codeforces.com/contest/185/problem/A, 185, A
19, Infinite Sequence, http://codeforces.com/contest/675/problem/A, 675, A
20, K-special Tables, http://codeforces.com/contest/625/problem/C, 625, C
21, Digital Counter, http://codeforces.com/contest/495/problem/A, 495, A
22, Xor-tree, http://codeforces.com/contest/429/problem/A, 429, A
23, Memory and Trident, http://codeforces.com/contest/712/problem/B, 712, B
24, Vasya and Football, http://codeforces.com/contest/493/problem/A, 493, A
25, Lucky Mask, http://codeforces.com/contest/146/problem/B, 146, B
26, Alternative Thinking, http://codeforces.com/contest/603/problem/A, 603, A
27, Tournament, http://codeforces.com/contest/27/problem/B, 27, B
28, Sereja and Algorithm , http://codeforces.com/contest/367/problem/A, 367, A
29, Megacity, http://codeforces.com/contest/424/problem/B, 424, B
30, Beautiful Paintings, http://codeforces.com/contest/651/problem/B, 651, B
31, Petya and Square, http://codeforces.com/contest/112/problem/B, 112, B
32, Valuable Resources, http://codeforces.com/contest/485/problem/B, 485, B
33, Progress Bar, http://codeforces.com/contest/71/problem/B, 71, B
34, Garland, http://codeforces.com/contest/408/problem/B, 408, B
35, War of the Corporations, http://codeforces.com/contest/625/problem/B, 625, B
36, Misha and Changing Handles, http://codeforces.com/contest/501/problem/B, 501, B
37, Milking cows, http://codeforces.com/contest/383/problem/A, 383, A
38, Sereja and Mirroring, http://codeforces.com/contest/426/problem/B, 426, B
39, The Child and Homework, http://codeforces.com/contest/437/problem/A, 437, A
40, Vasya and String, http://codeforces.com/contest/676/problem/C, 676, C
41, Pyramid of Glasses, http://codeforces.com/contest/676/problem/B, 676, B
42, Restoring Painting, http://codeforces.com/contest/675/problem/B, 675, B
43, Petya and Inequiations, http://codeforces.com/contest/111/problem/A, 111, A
44, Buns, http://codeforces.com/contest/106/problem/C, 106, C
45, Sereja and Prefixes, http://codeforces.com/contest/380/problem/A, 380, A
46, Cthulhu, http://codeforces.com/contest/103/problem/B, 103, B
