SNo,QueName,QueLink,Contest,QueType 
1, Crazy Computer, http://codeforces.com/contest/716/problem/A, 716, A
2, Haiku, http://codeforces.com/contest/78/problem/A, 78, A
3, LLPS, http://codeforces.com/contest/202/problem/A, 202, A
4, Wizards' Duel, http://codeforces.com/contest/591/problem/A, 591, A
5, George and Accommodation, http://codeforces.com/contest/467/problem/A, 467, A
6, Soldier and Bananas, http://codeforces.com/contest/546/problem/A, 546, A
7, GukiZ and Contest, http://codeforces.com/contest/551/problem/A, 551, A
8, Wasted Time, http://codeforces.com/contest/127/problem/A, 127, A
9, Combination Lock, http://codeforces.com/contest/540/problem/A, 540, A
10, Vitaly and Night, http://codeforces.com/contest/595/problem/A, 595, A
11, Shaass and Oskols, http://codeforces.com/contest/294/problem/A, 294, A
12, Sereja and Mugs, http://codeforces.com/contest/426/problem/A, 426, A
13, Line to Cashier, http://codeforces.com/contest/408/problem/A, 408, A
14, Mashmokh and Lights, http://codeforces.com/contest/415/problem/A, 415, A
15, Squats, http://codeforces.com/contest/424/problem/A, 424, A
16, Toy Army, http://codeforces.com/contest/84/problem/A, 84, A
17, Soroban, http://codeforces.com/contest/363/problem/A, 363, A
18, Kyoya and Photobooks, http://codeforces.com/contest/554/problem/A, 554, A
19, Rewards, http://codeforces.com/contest/448/problem/A, 448, A
20, Colorful Stones (Simplified Edition), http://codeforces.com/contest/265/problem/A, 265, A
21, Buggy Sorting, http://codeforces.com/contest/246/problem/A, 246, A
22, Greg's Workout, http://codeforces.com/contest/255/problem/A, 255, A
23, Police Recruits, http://codeforces.com/contest/427/problem/A, 427, A
24, Black Square, http://codeforces.com/contest/431/problem/A, 431, A
25, Circle Line, http://codeforces.com/contest/278/problem/A, 278, A
26, Playing with Dice, http://codeforces.com/contest/378/problem/A, 378, A
27, Roma and Lucky Numbers, http://codeforces.com/contest/262/problem/A, 262, A
28, Games, http://codeforces.com/contest/268/problem/A, 268, A
29, Bear and Finding Criminals, http://codeforces.com/contest/680/problem/B, 680, B
30, Nicholas and Permutation, http://codeforces.com/contest/676/problem/A, 676, A
31, Uncowed Forces, http://codeforces.com/contest/604/problem/A, 604, A
32, Choosing Laptop, http://codeforces.com/contest/106/problem/B, 106, B
33, Ternary Logic, http://codeforces.com/contest/136/problem/B, 136, B
34, Lever, http://codeforces.com/contest/376/problem/A, 376, A
35, Wet Shark and Odd and Even, http://codeforces.com/contest/621/problem/A, 621, A
36, A and B and Chess, http://codeforces.com/contest/519/problem/A, 519, A
37, Arrays, http://codeforces.com/contest/572/problem/A, 572, A
38, Saitama Destroys Hotel, http://codeforces.com/contest/608/problem/A, 608, A
39, Shell Game, http://codeforces.com/contest/35/problem/A, 35, A
40, George and Sleep, http://codeforces.com/contest/387/problem/A, 387, A
41, Vanya and Table, http://codeforces.com/contest/552/problem/A, 552, A
42, Drazil and Date, http://codeforces.com/contest/515/problem/A, 515, A
43, Sinking Ship, http://codeforces.com/contest/63/problem/A, 63, A
44, Initial Bet, http://codeforces.com/contest/478/problem/A, 478, A
45, Tavas and Nafas, http://codeforces.com/contest/535/problem/A, 535, A
46, Calculating Function, http://codeforces.com/contest/486/problem/A, 486, A
47, Exams, http://codeforces.com/contest/194/problem/A, 194, A
48, Postcards and photos, http://codeforces.com/contest/137/problem/A, 137, A
49, Multiplication Table, http://codeforces.com/contest/577/problem/A, 577, A
50, Palindromic Times, http://codeforces.com/contest/108/problem/A, 108, A
51, Help Vasilisa the Wise 2, http://codeforces.com/contest/143/problem/A, 143, A
52, Currency System in Geraldion, http://codeforces.com/contest/560/problem/A, 560, A
53, Game Outcome, http://codeforces.com/contest/157/problem/A, 157, A
54, Group of Students, http://codeforces.com/contest/357/problem/A, 357, A
55, Interview, http://codeforces.com/contest/631/problem/A, 631, A
56, Petya and Countryside, http://codeforces.com/contest/66/problem/B, 66, B
57, Case of the Zeros and Ones, http://codeforces.com/contest/556/problem/A, 556, A
58, Worms Evolution, http://codeforces.com/contest/31/problem/A, 31, A
59, Ciel and Dancing, http://codeforces.com/contest/322/problem/A, 322, A
60, Table, http://codeforces.com/contest/359/problem/A, 359, A
61, Sereja and Coat Rack, http://codeforces.com/contest/368/problem/A, 368, A
62, Toy Cars, http://codeforces.com/contest/545/problem/A, 545, A
63, Joysticks, http://codeforces.com/contest/651/problem/A, 651, A
64, Lucky Substring, http://codeforces.com/contest/122/problem/B, 122, B
65, Lucky Ticket, http://codeforces.com/contest/146/problem/A, 146, A
66, Kefa and First Steps, http://codeforces.com/contest/580/problem/A, 580, A
67, Squares, http://codeforces.com/contest/263/problem/B, 263, B
68, Valera and Plates, http://codeforces.com/contest/369/problem/A, 369, A
69, Trace, http://codeforces.com/contest/157/problem/B, 157, B
70, Pasha and Stick, http://codeforces.com/contest/610/problem/A, 610, A
71, Queue on Bus Stop, http://codeforces.com/contest/435/problem/A, 435, A
