SNo,QueName,QueLink,Contest,QueType 
1, Flowers, http://codeforces.com/contest/474/problem/D, 474, D
2, Prizes| Prizes| more Prizes, http://codeforces.com/contest/208/problem/D, 208, D
3, Xenia and Bit Operations, http://codeforces.com/contest/339/problem/D, 339, D
4, Vasya and Chess, http://codeforces.com/contest/493/problem/D, 493, D
5, Mashmokh and ACM, http://codeforces.com/contest/414/problem/B, 414, B
6, Multiplication Table, http://codeforces.com/contest/448/problem/D, 448, D
7, Unbearable Controversy of Being, http://codeforces.com/contest/489/problem/D, 489, D
8, Caesar's Legions, http://codeforces.com/contest/118/problem/D, 118, D
9, Colorful Graph, http://codeforces.com/contest/246/problem/D, 246, D
10, Little Girl and Maximum XOR, http://codeforces.com/contest/276/problem/D, 276, D
11, Common Divisors, http://codeforces.com/contest/182/problem/D, 182, D
12, Magic Box, http://codeforces.com/contest/231/problem/D, 231, D
13, Good Sequences, http://codeforces.com/contest/264/problem/B, 264, B
14, Password, http://codeforces.com/contest/126/problem/B, 126, B
15, Greg and Graph, http://codeforces.com/contest/295/problem/B, 295, B
16, Working out, http://codeforces.com/contest/429/problem/B, 429, B
17, Count Good Substrings, http://codeforces.com/contest/451/problem/D, 451, D
18, Good Substrings, http://codeforces.com/contest/271/problem/D, 271, D
19, Long Path, http://codeforces.com/contest/407/problem/B, 407, B
20, Maximum Value, http://codeforces.com/contest/484/problem/B, 484, B
21, Greenhouse Effect, http://codeforces.com/contest/269/problem/B, 269, B
22, Red-Green Towers, http://codeforces.com/contest/478/problem/D, 478, D
23, Maximum Submatrix 2, http://codeforces.com/contest/375/problem/B, 375, B
24, Cow Program, http://codeforces.com/contest/283/problem/B, 283, B
25, Biridian Forest, http://codeforces.com/contest/329/problem/B, 329, B
26, Andrey and Problem, http://codeforces.com/contest/442/problem/B, 442, B
27, DZY Loves Modification, http://codeforces.com/contest/446/problem/B, 446, B
28, Zero Tree, http://codeforces.com/contest/274/problem/B, 274, B
29, Prefixes and Suffixes, http://codeforces.com/contest/432/problem/D, 432, D
30, Queue, http://codeforces.com/contest/91/problem/B, 91, B
31, Chips, http://codeforces.com/contest/333/problem/B, 333, B
32, Valid Sets, http://codeforces.com/contest/486/problem/D, 486, D
33, Pair of Numbers, http://codeforces.com/contest/359/problem/D, 359, D
34, Planets, http://codeforces.com/contest/229/problem/B, 229, B
35, Queue, http://codeforces.com/contest/353/problem/D, 353, D
36, Petya and Divisors, http://codeforces.com/contest/111/problem/B, 111, B
37, Obsessive String, http://codeforces.com/contest/494/problem/B, 494, B
38, Dima and Bacteria, http://codeforces.com/contest/400/problem/D, 400, D
39, Psychos in a Line, http://codeforces.com/contest/319/problem/B, 319, B
40, Ciel and Duel, http://codeforces.com/contest/321/problem/B, 321, B
41, Falling Anvils, http://codeforces.com/contest/77/problem/B, 77, B
42, Hit Ball, http://codeforces.com/contest/203/problem/D, 203, D
43, Toy Sum, http://codeforces.com/contest/405/problem/D, 405, D
44, Lucky Common Subsequence, http://codeforces.com/contest/346/problem/B, 346, B
45, Two Paths, http://codeforces.com/contest/14/problem/D, 14, D
46, Help General, http://codeforces.com/contest/142/problem/B, 142, B
47, Dima and Two Sequences, http://codeforces.com/contest/272/problem/D, 272, D
48, How many trees?, http://codeforces.com/contest/9/problem/D, 9, D
49, Lucky Number 2, http://codeforces.com/contest/145/problem/B, 145, B
50, Cinema, http://codeforces.com/contest/234/problem/D, 234, D
51, Wizards and Huge Prize, http://codeforces.com/contest/167/problem/B, 167, B
52, Apple Tree, http://codeforces.com/contest/348/problem/B, 348, B
53, Yaroslav and Time, http://codeforces.com/contest/301/problem/B, 301, B
54, Numbers, http://codeforces.com/contest/213/problem/B, 213, B
55, Treasure Island, http://codeforces.com/contest/106/problem/D, 106, D
56, Book of Evil, http://codeforces.com/contest/337/problem/D, 337, D
57, Sereja and Periods, http://codeforces.com/contest/314/problem/B, 314, B
58, Infinite Maze, http://codeforces.com/contest/196/problem/B, 196, B
59, Playing with Permutations, http://codeforces.com/contest/251/problem/B, 251, B
60, Doctor, http://codeforces.com/contest/83/problem/B, 83, B
61, Animals, http://codeforces.com/contest/35/problem/D, 35, D
62, Mushroom Scientists, http://codeforces.com/contest/185/problem/B, 185, B
63, Tennis Game, http://codeforces.com/contest/496/problem/D, 496, D
64, Buses, http://codeforces.com/contest/101/problem/B, 101, B
65, String, http://codeforces.com/contest/128/problem/B, 128, B
66, Shifting, http://codeforces.com/contest/286/problem/B, 286, B
67, Boring Partition, http://codeforces.com/contest/238/problem/B, 238, B
68, Analyzing Polyline, http://codeforces.com/contest/195/problem/D, 195, D
69, Vasya and Types, http://codeforces.com/contest/87/problem/B, 87, B
70, Lizards and Basements 2, http://codeforces.com/contest/6/problem/D, 6, D
71, Constellation, http://codeforces.com/contest/32/problem/D, 32, D
72, Pawn, http://codeforces.com/contest/41/problem/D, 41, D
73, Journey, http://codeforces.com/contest/43/problem/D, 43, D
74, Tanya and Password, http://codeforces.com/contest/508/problem/D, 508, D
75, Demonstration, http://codeforces.com/contest/191/problem/B, 191, B
76, Big Maximum Sum, http://codeforces.com/contest/75/problem/D, 75, D
77, The Child and Zoo, http://codeforces.com/contest/437/problem/D, 437, D
78, Mr. Bender and Square, http://codeforces.com/contest/255/problem/D, 255, D
79, Special Grid, http://codeforces.com/contest/435/problem/D, 435, D
80, Name That Tune, http://codeforces.com/contest/498/problem/B, 498, B
81, Ring Road 2, http://codeforces.com/contest/27/problem/D, 27, D
82, Russian Roulette, http://codeforces.com/contest/103/problem/C, 103, C
83, Snake, http://codeforces.com/contest/225/problem/D, 225, D
84, Upgrading Array, http://codeforces.com/contest/402/problem/D, 402, D
85, Edges in MST, http://codeforces.com/contest/160/problem/D, 160, D
86, Fools and Foolproof Roads, http://codeforces.com/contest/362/problem/D, 362, D
87, End of Exams, http://codeforces.com/contest/93/problem/B, 93, B
88, Restoring Numbers, http://codeforces.com/contest/509/problem/D, 509, D
89, Cats Transport, http://codeforces.com/contest/311/problem/B, 311, B
90, Broken Monitor, http://codeforces.com/contest/370/problem/D, 370, D
91, The Minimum Number of Variables, http://codeforces.com/contest/279/problem/D, 279, D
92, Volcanoes, http://codeforces.com/contest/383/problem/B, 383, B
93, Widget Library, http://codeforces.com/contest/89/problem/B, 89, B
94, Misha and Permutations Summation, http://codeforces.com/contest/501/problem/D, 501, D
95, BerDonalds, http://codeforces.com/contest/266/problem/D, 266, D
96, Tower of Hanoi, http://codeforces.com/contest/392/problem/B, 392, B
97, Mr. Kitayuta's Technology, http://codeforces.com/contest/505/problem/D, 505, D
98, Shoe Store, http://codeforces.com/contest/166/problem/D, 166, D
99, Inna and Sweet Matrix, http://codeforces.com/contest/390/problem/D, 390, D
100, Help King, http://codeforces.com/contest/98/problem/B, 98, B
