SNo,QueName,QueLink,Contest,QueType 
1, Young Physicist, http://codeforces.com/contest/69/problem/A, 69, A
2, Beautiful Matrix, http://codeforces.com/contest/263/problem/A, 263, A
3, Queue at the School, http://codeforces.com/contest/266/problem/B, 266, B
4, Borze, http://codeforces.com/contest/32/problem/B, 32, B
5, Beautiful Year, http://codeforces.com/contest/271/problem/A, 271, A
6, Lights Out, http://codeforces.com/contest/275/problem/A, 275, A
7, Word, http://codeforces.com/contest/59/problem/A, 59, A
8, Word Capitalization, http://codeforces.com/contest/281/problem/A, 281, A
9, Nearly Lucky Number, http://codeforces.com/contest/110/problem/A, 110, A
10, Stones on the Table, http://codeforces.com/contest/266/problem/A, 266, A
11, Panoramix's Prediction, http://codeforces.com/contest/80/problem/A, 80, A
12, Ultra-Fast Mathematician, http://codeforces.com/contest/61/problem/A, 61, A
13, Perfect Permutation, http://codeforces.com/contest/233/problem/A, 233, A
14, Arrival of the General, http://codeforces.com/contest/144/problem/A, 144, A
15, Drinks, http://codeforces.com/contest/200/problem/B, 200, B
16, Insomnia cure, http://codeforces.com/contest/148/problem/A, 148, A
17, Cupboards, http://codeforces.com/contest/248/problem/A, 248, A
18, I_love_\%username\%, http://codeforces.com/contest/155/problem/A, 155, A
19, Tram, http://codeforces.com/contest/116/problem/A, 116, A
20, Helpful Maths, http://codeforces.com/contest/339/problem/A, 339, A
21, Is your horseshoe on the other hoof?, http://codeforces.com/contest/228/problem/A, 228, A
22, Way Too Long Words, http://codeforces.com/contest/71/problem/A, 71, A
23, Boy or Girl, http://codeforces.com/contest/236/problem/A, 236, A
24, Amusing Joke, http://codeforces.com/contest/141/problem/A, 141, A
25, Soft Drinking, http://codeforces.com/contest/151/problem/A, 151, A
26, HQ9+, http://codeforces.com/contest/133/problem/A, 133, A
27, Petya and Strings, http://codeforces.com/contest/112/problem/A, 112, A
28, Team, http://codeforces.com/contest/231/problem/A, 231, A
29, Bit++, http://codeforces.com/contest/282/problem/A, 282, A
30, Effective Approach, http://codeforces.com/contest/227/problem/B, 227, B
31, Dima and Friends, http://codeforces.com/contest/272/problem/A, 272, A
32, Jzzhu and Children, http://codeforces.com/contest/450/problem/A, 450, A
33, Supercentral Point, http://codeforces.com/contest/165/problem/A, 165, A
34, Petr and Book, http://codeforces.com/contest/139/problem/A, 139, A
35, Parallelepiped, http://codeforces.com/contest/224/problem/A, 224, A
36, Reconnaissance 2, http://codeforces.com/contest/34/problem/A, 34, A
37, Even Odds, http://codeforces.com/contest/318/problem/A, 318, A
38, Little Elephant and Rozdil, http://codeforces.com/contest/205/problem/A, 205, A
39, Hexadecimal's theorem, http://codeforces.com/contest/199/problem/A, 199, A
40, Jeff and Digits, http://codeforces.com/contest/352/problem/A, 352, A
41, Xenia and Ringroad, http://codeforces.com/contest/339/problem/B, 339, B
42, Magic Numbers, http://codeforces.com/contest/320/problem/A, 320, A
43, Translation, http://codeforces.com/contest/41/problem/A, 41, A
44, Football, http://codeforces.com/contest/43/problem/A, 43, A
45, Bicycle Chain, http://codeforces.com/contest/215/problem/A, 215, A
46, Sale, http://codeforces.com/contest/34/problem/B, 34, B
47, System of Equations, http://codeforces.com/contest/214/problem/A, 214, A
48, Business trip, http://codeforces.com/contest/149/problem/A, 149, A
49, Dubstep, http://codeforces.com/contest/208/problem/A, 208, A
50, k-String, http://codeforces.com/contest/219/problem/A, 219, A
51, The number of positions, http://codeforces.com/contest/124/problem/A, 124, A
52, Football, http://codeforces.com/contest/96/problem/A, 96, A
53, String Task, http://codeforces.com/contest/118/problem/A, 118, A
54, Little Elephant and Function, http://codeforces.com/contest/221/problem/A, 221, A
55, Present from Lena, http://codeforces.com/contest/118/problem/B, 118, B
56, Dragons, http://codeforces.com/contest/230/problem/A, 230, A
57, Puzzles, http://codeforces.com/contest/337/problem/A, 337, A
58, Chat room, http://codeforces.com/contest/58/problem/A, 58, A
59, Airport, http://codeforces.com/contest/218/problem/B, 218, B
60, DZY Loves Chessboard, http://codeforces.com/contest/445/problem/A, 445, A
61, Pashmak and Flowers, http://codeforces.com/contest/459/problem/B, 459, B
62, Jeff and Periods, http://codeforces.com/contest/352/problem/B, 352, B
63, Little Girl and Game, http://codeforces.com/contest/276/problem/B, 276, B
64, Sail, http://codeforces.com/contest/298/problem/B, 298, B
65, Shower Line, http://codeforces.com/contest/431/problem/B, 431, B
66, Shooshuns and Sequence , http://codeforces.com/contest/222/problem/A, 222, A
67, Xenia and Divisors, http://codeforces.com/contest/342/problem/A, 342, A
68, Letter, http://codeforces.com/contest/43/problem/B, 43, B
69, Kitahara Haruki's Gift, http://codeforces.com/contest/433/problem/A, 433, A
70, Comparing Strings, http://codeforces.com/contest/186/problem/A, 186, A
71, Hungry Sequence, http://codeforces.com/contest/327/problem/B, 327, B
72, Big Segment, http://codeforces.com/contest/242/problem/B, 242, B
73, Little Elephant and Bits, http://codeforces.com/contest/258/problem/A, 258, A
74, Yaroslav and Permutations, http://codeforces.com/contest/296/problem/A, 296, A
75, Fence, http://codeforces.com/contest/363/problem/B, 363, B
76, TL, http://codeforces.com/contest/350/problem/A, 350, A
77, Increase and Decrease, http://codeforces.com/contest/246/problem/B, 246, B
78, Two Bags of Potatoes, http://codeforces.com/contest/239/problem/A, 239, A
79, Unlucky Ticket, http://codeforces.com/contest/160/problem/B, 160, B
80, Boys and Girls, http://codeforces.com/contest/253/problem/A, 253, A
81, Easy Number Challenge, http://codeforces.com/contest/236/problem/B, 236, B
82, Pythagorean Theorem II, http://codeforces.com/contest/304/problem/A, 304, A
83, Cards with Numbers, http://codeforces.com/contest/254/problem/A, 254, A
84, Domino, http://codeforces.com/contest/353/problem/A, 353, A
85, Cinema Line, http://codeforces.com/contest/349/problem/A, 349, A
86, Rank List, http://codeforces.com/contest/166/problem/A, 166, A
87, Cut Ribbon, http://codeforces.com/contest/189/problem/A, 189, A
88, IQ Test, http://codeforces.com/contest/287/problem/A, 287, A
89, Building Permutation, http://codeforces.com/contest/285/problem/C, 285, C
90, Kuriyama Mirai's Stones, http://codeforces.com/contest/433/problem/B, 433, B
91, T-primes, http://codeforces.com/contest/230/problem/B, 230, B
92, Sereja and Suffixes, http://codeforces.com/contest/368/problem/B, 368, B
93, Flipping Game, http://codeforces.com/contest/327/problem/A, 327, A
94, Free Cash, http://codeforces.com/contest/237/problem/A, 237, A
95, Polo the Penguin and Matrix, http://codeforces.com/contest/289/problem/B, 289, B
96, Jzzhu and Sequences, http://codeforces.com/contest/450/problem/B, 450, B
97, Appleman and Card Game, http://codeforces.com/contest/462/problem/B, 462, B
98, Sort the Array, http://codeforces.com/contest/451/problem/B, 451, B
99, Sereja and Bottles, http://codeforces.com/contest/315/problem/A, 315, A
100, Adding Digits, http://codeforces.com/contest/260/problem/A, 260, A
